#{"t_start": 1686168669.8732994, "env_id": null}
r,l,t
-104.11472,44,0.535002
-102.42006,48,0.570345
-112.15271,52,0.604852
-114.62724,53,0.615898
-117.536575,55,0.634598
-105.91179,58,0.660814
-111.5706,60,0.67924
-101.338005,62,0.697787
-106.69007,63,0.711448
-116.80916,63,0.711473
-119.02026,64,0.722352
-111.36929,70,0.772607
-111.395004,73,0.799011
-100.37884,75,0.817431
-100.62252,82,0.87536
-105.58314,87,0.917747
-105.58338,89,0.936467
-113.51713,43,1.009806
-110.154,36,1.020751
-124.1812,100,1.031965
-115.79407,101,1.043081
-99.65432,103,1.065535
-123.63215,107,1.100517
-116.580444,56,1.177932
-102.381325,63,1.177964
-106.78125,44,1.301519
-119.33645,64,1.328797
-115.7844,75,1.356244
-106.181465,50,1.456535
-110.808014,55,1.519189
-126.72572,112,1.519215
-99.6877,93,1.530556
-104.999306,62,1.574547
-126.73729,178,1.709688
-113.31478,76,1.723694
-104.30826,64,1.734552
-122.79945,89,1.794545
-127.85339,134,1.878131
-118.81328,92,1.897271
-102.5595,59,1.973717
-106.80722,57,2.067234
-112.25438,53,2.168095
-112.810776,60,2.236332
-103.17348,128,2.28653
-124.08423,162,2.286556
-122.406845,69,2.33033
-114.053925,58,2.381495
-110.9755,63,2.515281
-100.39176,96,2.617799
-97.92448,68,2.653984
-111.84014,63,2.77957
-112.06616,48,2.79069
-129.81694,151,2.826192
-97.65327,72,2.909761
-101.68662,72,2.909786
-108.98643,90,2.954147
-109.99193,55,3.128991
-122.880394,121,3.650311
-103.50449,107,3.736463
-113.02574,115,3.923361
-102.18814,86,4.46501
-157.599,570,5.052042
-109.64898,96,5.273618
-132.10928,255,5.284981
-115.13156,85,5.775295
-102.80507,70,5.869475
-121.37789,78,6.429144
-105.7046,89,7.183572
-117.70363,61,7.697127
-102.605316,83,8.391655
-103.7546,66,8.997395
-113.346535,103,9.868247
-101.447174,80,10.540832
-209.20964,1349,12.283885
-220.55817,1439,12.829396
-98.11999,73,12.89891
-107.67678,83,13.531677
-127.35116,1600,13.809777
-112.42812,1600,13.80983
-108.825554,1600,13.809843
-110.07654,1600,13.809853
-129.35861,1600,13.80986
-121.02431,1600,13.809867
-111.828094,1600,13.809875
-106.52357,1600,13.809881
-120.303085,1600,13.809888
-104.04308,69,14.136163
-96.56084,1600,14.248201
-110.73944,56,14.284765
-124.12822,1600,14.304303
-101.99128,1600,14.449094
-101.49366,80,14.493619
-103.57039,1600,14.57116
-99.87956,92,14.602524
-113.91262,53,14.602548
-109.21849,53,14.712193
-106.79636,73,14.910755
-112.60227,1600,14.930366
-115.17297,1600,14.959049
-109.6211,1600,14.987005
-107.89426,80,15.001249
-107.34829,63,15.001274
-104.771545,65,15.061664
-105.475945,1600,15.154757
-109.273056,1600,15.166357
-120.09712,74,15.242477
-109.52592,44,15.302535
-122.76051,88,15.338097
-116.73672,58,15.440191
-111.801476,1600,15.526054
-113.66246,58,15.733696
-101.60747,87,15.744777
-104.917564,72,15.775331
-118.918686,90,15.775356
-103.45017,79,15.844263
-233.56252,1532,15.944387
-107.333336,1600,15.958733
-117.913025,74,15.978459
-102.15014,55,16.006095
-129.18555,96,16.130401
-113.32553,81,16.141722
-107.90029,1600,16.152957
-100.9247,47,16.164353
-104.45875,60,16.296009
-113.02475,44,16.339533
-100.67104,74,16.41895
-104.198204,1600,16.418976
-110.767525,1600,16.432774
-105.73343,59,16.493308
-123.74449,1600,16.54533
-106.095566,52,16.604546
-108.80567,100,16.615543
-103.07328,64,16.964869
-118.958176,123,17.009156
-101.10931,56,17.085521
-120.44079,67,17.113179
-123.00963,116,17.132536
-101.15547,75,17.2417
-111.192345,1600,17.324913
-99.86319,111,17.409363
-115.88541,52,17.445824
-132.11865,151,17.490102
-107.29064,54,17.509389
-122.84579,1600,17.605031
-119.71203,126,17.605057
-115.69456,70,60.585921
-106.129974,53,60.597501
-102.40148,67,60.609133
-130.31445,160,60.694741
-115.34224,60,60.714479
-118.49936,72,60.929976
-114.966675,68,60.941201
-106.58214,51,61.035437
-113.146065,53,61.046797
-113.66123,58,61.207055
-107.092476,53,61.483944
-118.91874,74,61.673569
-108.709564,87,61.673605
-111.44355,101,61.801112
-120.00211,1600,61.846295
-112.30627,47,61.890655
-107.64134,55,62.139605
-125.547134,125,62.268073
-119.72482,73,62.419415
-116.92464,1600,62.43088
-109.120674,47,62.817833
-99.35413,83,62.971098
-115.81882,81,63.114101
-103.165794,71,63.567741
-102.30178,63,63.645096
-130.34998,112,63.765452
-113.00078,62,64.094538
-106.10243,68,64.342072
-107.03832,79,64.76322
-103.833725,1600,67.051877
-102.606804,1600,69.462592
-100.71639,1600,70.362796
-115.92366,1600,70.362838
-100.45901,1600,70.36285
-112.06533,1600,70.36286
-104.174225,1600,70.362867
-103.791794,1600,70.362875
-110.832085,47,70.755606
-105.06491,55,70.825997
-117.98773,61,70.878299
-100.93491,68,70.938178
-106.047325,1600,71.141185
-109.4376,1600,71.252919
-103.81128,54,71.399329
-110.19894,1600,71.50256
-105.00478,74,71.513926
-112.057106,1600,71.534078
-101.11022,1600,71.604476
-117.0029,69,72.095064
-104.30397,65,72.148625
-113.5639,107,72.310402
-128.17966,1600,72.372452
-100.84144,1600,72.524772
-111.9962,1600,72.661523
-102.45014,72,72.764776
-112.52885,1600,72.817706
-104.64422,1600,72.862705
-104.46795,69,72.90704
-104.13055,65,73.083237
-109.40369,50,73.094286
-121.671165,93,73.170588
-104.68601,83,73.605168
-103.0858,1600,73.62533
-113.002785,1600,73.888923
-118.36921,1600,73.984176
-106.455444,1600,74.081578
-104.267166,1600,74.081613
-129.49522,147,74.118411
-102.85516,1600,74.22098
-116.12088,76,74.283107
-105.985176,1600,74.312146
-121.821724,75,74.540635
-98.729576,72,74.834837
-118.10283,74,74.913003
-115.78029,1600,75.282974
-105.05264,99,75.380181
-112.56056,55,75.380208
-99.42329,1600,75.459652
-100.05423,1600,75.505515
-118.80549,83,75.549557
-102.156975,1600,75.759577
-108.13796,58,75.788664
-114.869484,62,75.915249
-104.3542,91,76.157242
-124.36687,106,76.360696
-105.692665,69,76.377
-107.222916,65,76.714931
-105.338585,47,76.768249
-102.32514,89,77.133703
-105.67662,1600,77.308979
-113.8082,56,77.785572
-98.670204,1600,78.009751
-102.1777,1600,121.306264
-118.7505,80,121.343718
-114.22358,48,121.7212
-106.938805,57,121.833705
-109.211945,1600,123.652212
-91.8357,1600,126.048516
-95.320564,1600,126.956677
-111.0843,1600,126.956719
-99.62866,1600,127.358314
-105.29091,1600,127.430419
-103.11464,64,127.510512
-101.81762,1600,127.75146
-99.86575,1600,127.866073
-99.73669,1600,128.115329
-99.04246,1600,128.144372
-96.6524,1600,128.945838
-122.32802,112,129.061277
-108.24629,80,129.061306
-101.68122,96,129.175251
-104.74796,52,129.396925
-104.04498,1600,129.619302
-102.29666,1600,129.673869
-114.63113,64,129.728694
-109.91377,43,129.774286
-96.21372,1600,129.944332
-96.46833,1600,129.956142
-111.122284,1600,130.035214
-110.4221,1600,130.477215
-126.59186,100,130.589503
-96.50734,1600,130.85374
-96.08121,1600,130.953758
-102.72645,1600,130.953789
-103.744484,1600,130.992154
-99.21198,1600,131.182156
-103.72668,77,131.260304
-110.36319,40,131.305426
-107.901085,58,131.366715
-103.384346,70,131.783754
-115.18258,67,131.880564
-110.0442,83,132.079325
-99.09032,1600,132.387826
-104.26688,1600,132.433247
-108.35785,1600,132.648461
-90.90612,1600,132.804043
-104.989334,88,133.147785
-117.63763,83,133.363421
-110.68425,1600,133.611757
-102.83597,1600,133.66574
-115.27864,56,133.847414
-113.77383,41,134.020672
-112.300224,49,134.043783
-96.85729,1600,134.043809
-114.009254,71,134.463044
-106.34673,87,134.790684
-100.40857,1600,134.894501
-101.065895,57,134.957219
-120.15421,173,135.512661
-100.39408,76,135.609837
-102.161156,1600,135.741596
-108.42202,1600,135.855241
-124.60144,123,135.965054
-108.27393,63,136.403809
-95.76501,1600,137.721131
-92.472725,1600,183.092527
-105.18842,54,183.560678
-94.951,1600,184.002095
-115.75834,97,184.401184
-103.58375,1600,184.412968
-99.17426,1600,184.484949
-89.9996,1600,184.565407
-91.99207,1600,184.805514
-99.62452,87,185.15486
-108.799934,62,185.336135
-88.4542,1600,185.880137
-93.54456,1600,185.880183
-114.68979,64,186.429952
-88.223335,1600,186.441615
-90.21775,1600,186.496343
-95.04062,1600,186.59338
-86.85008,1600,186.767145
-94.029526,1600,186.779032
-93.33279,1600,186.857987
-112.29638,57,186.99586
-90.674675,1600,187.30603
-116.65552,67,187.573065
-87.79914,1600,187.782276
-95.242134,1600,187.820108
-114.17322,67,187.89164
-92.51272,1600,188.089966
-111.32982,70,188.488298
-93.77142,1600,188.61335
-107.89749,96,188.651616
-90.21529,1600,188.715497
-93.97358,1600,188.912431
-94.561905,1600,189.324195
-107.968895,84,189.404788
-86.54518,1600,189.696568
-122.378746,118,189.734051
-104.31638,69,189.921068
-97.58503,1600,190.043539
-110.44898,50,190.16542
-109.35883,93,190.218186
-109.05624,71,190.543993
-104.941666,61,190.582103
-107.680046,63,190.765705
-96.126915,1600,190.949339
-93.72183,1600,191.697901
-123.00296,107,191.871519
-113.34619,136,191.942748
-112.668655,76,192.355588
-88.16252,1600,192.426957
-95.27172,1600,192.52525
-88.7645,1600,192.656913
-101.20873,1600,192.873178
-109.35305,48,192.943518
-112.17859,76,193.316609
-88.12879,1600,193.316637
-108.13673,111,193.328363
-107.396736,62,193.485372
-116.34809,72,193.9387
-110.611626,82,194.036571
-115.61012,54,194.407896
-84.06361,1600,194.609599
-81.09944,1600,197.949132
-98.16328,1600,198.391304
-84.12424,1600,198.463481
-86.05832,1600,198.54401
-115.382515,73,198.624793
-83.51586,1600,199.14513
-85.337524,1600,199.327642
-115.53231,100,199.415872
-114.155914,74,242.758193
-95.014885,1600,242.848246
-134.96844,150,242.902563
-105.223305,64,242.948054
-100.38605,1600,243.400036
-86.3559,1600,243.411994
-85.29444,1600,243.558051
-93.44483,1600,243.72856
-87.32488,1600,243.740425
-83.83261,1600,243.819024
-131.48369,137,243.948014
-110.98089,45,244.128882
-83.27937,1600,244.525835
-109.534706,63,244.664538
-84.57603,1600,244.735859
-78.43775,1600,245.032647
-91.81412,1600,245.429429
-83.16687,1600,245.644769
-77.00759,1600,245.840726
-100.006004,70,246.028195
-121.50301,81,246.528198
-80.433525,1600,246.557156
-91.032845,1600,247.018124
-82.87735,1600,247.386555
-87.41656,1600,247.423844
-101.90846,91,248.159784
-76.95873,1600,248.687249
-77.97939,1600,248.759034
-80.83438,1600,249.235011
-118.21701,90,249.45425
-86.67483,1600,249.767962
-101.500626,74,250.180383
-79.263145,1600,250.200172
-92.2171,1600,250.359632
-80.04574,1600,250.895948
-108.93422,70,250.95032
-83.36735,1600,251.265701
-79.762924,1600,251.459173
-79.93541,1600,255.100199
-73.39234,1600,255.170661
-77.410065,1600,256.00696
-62.477814,1600,256.535632
-71.83548,1600,256.58908
-75.35065,1600,256.633816
-91.47342,1600,257.076626
-78.47593,1600,257.088468
-87.2856,1600,257.233621
-79.23382,1600,257.403267
-74.94642,1600,257.490212
-81.67565,1600,257.616918
-106.99638,80,257.760303
-101.188896,87,257.976027
-125.73866,75,258.045707
-68.516396,1600,258.240781
-91.88958,1600,258.376958
-111.72819,49,258.437916
-74.46717,1600,258.449406
-78.16738,1600,258.745762
-115.65917,50,258.806942
-71.39263,1600,259.362461
-101.598,71,259.416388
-71.76446,1600,259.748591
-91.446976,1600,303.222657
-76.85199,1600,303.250983
-86.85456,1600,303.703429
-88.575806,1600,304.097665
-77.360725,1600,304.828326
-118.21993,99,304.932168
-67.085434,1600,305.416609
-72.62037,1600,305.888348
-69.425644,1600,306.316943
-73.66639,1600,306.730461
-69.940506,1600,306.750695
-122.860245,85,307.033559
-80.454735,1600,307.44446
-70.36838,1600,307.497593
-85.21393,1600,307.808402
-107.14826,59,307.993779
-70.55396,1600,308.00533
-119.82832,79,308.665462
-117.95642,86,308.719062
-74.93021,1600,311.67197
-89.89487,1600,311.742482
-75.09313,1600,312.577434
-72.02398,1600,313.105261
-58.918026,1600,313.159356
-65.52895,1600,313.204356
-76.96446,1600,313.654463
-60.192852,1600,314.050976
-65.67011,1600,314.182274
-86.08881,1600,314.326987
-70.733345,1600,314.603979
-70.35101,1600,314.757706
-73.3998,1600,314.952373
-75.554634,1600,314.964291
-68.38303,1600,315.260909
-70.47953,1600,315.862543
-72.75044,1600,315.916693
-70.27952,1600,316.243226
-161.98296,1326,316.629542
-74.044495,1600,316.739819
-59.569607,1600,316.767709
-68.376396,1600,317.215746
-62.048367,1600,318.37797
-68.40962,1600,318.47989
-59.874466,1600,319.43075
-110.77931,59,319.916548
-65.90397,1600,320.258929
-67.709404,1600,320.279048
-72.155914,1600,363.606873
-77.08143,1600,364.014342
-63.515812,1600,364.373897
-61.12486,1600,365.228281
-72.51963,1600,365.28179
-70.62911,1600,368.147183
-60.060867,1600,368.215964
-67.10219,1600,369.03609
-123.89134,112,369.080531
-60.974922,1600,369.609494
-60.21047,1600,369.66362
-71.039276,1600,369.708698
-52.174664,1600,370.155113
-61.83683,1600,370.543451
-56.3163,1600,370.671674
-54.999104,1600,370.813555
-56.265503,1600,371.090383
-56.532658,1600,371.243941
-61.61371,1600,371.435754
-62.058403,1600,371.447331
-65.094315,1600,371.739109
-55.844345,1600,372.333951
-62.427643,1600,372.387162
-54.98133,1600,372.710438
-58.83937,1600,373.093198
-60.81252,1600,373.202698
-56.271362,1600,373.231116
-50.08492,1600,373.678161
-61.34519,1600,374.788951
-52.47761,1600,374.890738
-47.21145,1600,376.328018
-58.8348,1600,376.672088
-64.04378,1600,376.692386
-59.243736,1600,376.975446
-63.28734,1600,377.383683
-58.028175,1600,377.741385
-59.713512,1600,378.637595
-53.419567,1600,378.69066
-108.15173,105,379.517448
-58.943108,1600,424.603902
-50.03021,1600,425.418502
-54.37636,1600,425.46327
-116.825714,125,425.639906
-49.85732,1600,425.947936
-57.644886,1600,426.001827
-49.078243,1600,426.046075
-49.027443,1600,426.492982
-49.361362,1600,426.884006
-49.415512,1600,427.009934
-38.65423,1600,427.153022
-103.81344,57,427.362448
-49.862408,1600,427.431929
-36.16822,1600,427.584089
-55.176098,1600,427.776363
-51.574455,1600,427.788294
-43.091972,1600,428.080137
-124.24316,119,428.426251
-40.21199,1600,428.67676
-53.73785,1600,428.729889
-49.37353,1600,429.053866
-55.751873,1600,429.484126
-47.11259,1600,429.595003
-42.25149,1600,429.623105
-39.93927,1600,430.070875
-104.100044,67,430.155747
-34.016033,1600,431.180419
-40.99324,1600,431.283056
