#{"t_start": 1686156487.8523629, "env_id": null}
r,l,t
-108.467445,44,0.583153
-109.98981,50,0.63957
-110.627174,52,0.662771
-109.89026,52,0.662816
-113.664825,53,0.677379
-111.4906,53,0.677416
-104.59586,58,0.725525
-110.94104,58,0.725574
-99.471466,65,0.786603
-118.02719,70,0.829842
-99.67683,72,0.849174
-121.82133,76,0.884724
-107.79589,79,0.912163
-124.35565,83,0.948712
-113.79698,99,1.084263
-103.79543,99,1.08432
-119.52388,100,1.099248
-115.57817,47,1.099284
-106.18239,102,1.11888
-106.74512,45,1.130335
-104.17658,54,1.166403
-106.89366,64,1.177743
-114.16559,112,1.213371
-119.94414,113,1.224684
-118.25003,116,1.25251
-98.97214,74,1.322386
-101.778946,131,1.38294
-111.49894,45,1.502056
-120.82738,88,1.513386
-114.51806,76,1.59045
-105.36441,88,1.634351
-110.234184,90,1.687019
-120.111115,172,1.739278
-107.17552,74,1.750663
-113.78762,76,1.800543
-118.414856,75,1.878723
-106.31764,47,1.93135
-102.07784,98,1.977972
-122.56799,93,2.007222
-119.1872,89,2.0193
-100.98689,69,2.12577
-103.99227,49,2.238088
-106.09781,59,2.278612
-104.761284,76,2.278676
-111.28609,59,2.291116
-125.94658,146,2.413319
-104.30509,91,2.471945
-99.45652,66,2.591382
-109.895836,79,2.754294
-103.215,72,2.815664
-106.60213,57,2.838752
-107.35819,89,2.87383
-108.5889,99,2.887016
-114.461006,66,2.946124
-104.24861,61,3.02195
-104.45379,60,3.070118
-109.503555,53,3.372245
-121.51039,74,3.508157
-100.127914,73,3.519923
-110.181725,70,3.66221
-112.52396,64,3.958231
-101.00972,61,4.066672
-118.85233,115,4.112174
-102.70556,69,4.149612
-108.89488,35,4.373019
-100.913956,83,4.401713
-105.58425,101,4.987152
-101.05212,74,5.045664
-108.538994,48,5.475671
-118.181984,72,5.630905
-107.05993,54,6.092028
-107.522354,206,6.181167
-104.69325,42,6.469541
-123.54381,96,7.01773
-122.86956,68,7.064297
-110.20161,47,7.437464
-114.86946,67,7.666971
-103.82351,71,8.286727
-102.16983,78,8.977186
-109.24753,85,9.740764
-103.84705,66,10.335662
-116.76021,71,10.947446
-118.49991,89,11.740848
-207.28339,1185,11.76209
-101.18757,61,12.285736
-103.63486,85,13.03395
-205.10274,1331,13.135167
-210.28864,1239,13.310539
-210.71814,1203,13.63539
-198.03741,1515,13.760137
-112.19992,105,13.991809
-108.0994,42,14.132975
-105.23558,37,14.459638
-131.9845,1600,14.549892
-118.831245,1600,14.549953
-120.283936,1600,14.549967
-115.56271,1600,14.549976
-120.75439,1600,14.549984
-120.07205,1600,14.549991
-113.75237,1600,14.549998
-110.32498,1600,14.550005
-101.269806,82,14.76951
-108.61373,52,15.026405
-116.77248,1600,15.026461
-103.12365,1600,15.026474
-101.750824,55,15.055978
-135.70538,209,15.06827
-103.71624,63,15.132574
-115.89885,1600,15.153686
-124.501625,1600,15.20209
-122.76271,73,15.231081
-104.77116,78,15.277715
-117.30332,1600,15.323783
-120.180954,89,15.378814
-108.45946,45,15.450854
-105.46926,46,15.488105
-123.45322,1600,15.509081
-100.07946,83,15.539181
-107.46984,62,15.612442
-106.35338,64,15.636207
-113.69549,116,15.636258
-123.058105,1600,15.713298
-122.72145,1600,15.781374
-101.9172,69,15.813175
-101.92743,62,15.877676
-105.53057,57,15.877741
-114.88401,50,15.951222
-102.10679,63,16.000362
-124.269905,1600,16.148171
-104.75213,99,16.17946
-104.9129,56,16.209
-103.323006,72,16.238866
-115.02662,1600,16.34508
-98.68788,75,16.382713
-103.16857,63,16.414869
-106.85425,47,16.414923
-98.48965,94,16.470826
-118.734634,65,16.51817
-102.74757,1600,16.749914
-118.79908,67,16.82378
-101.74848,88,16.836314
-104.29315,107,16.848929
-107.598694,1600,17.058282
-123.00435,99,17.071168
-106.90182,105,17.156931
-117.34489,1600,17.212883
-118.391304,1600,17.313458
-102.804634,107,17.343884
-107.01551,111,17.416355
-103.272446,43,17.473911
-112.56997,54,17.706377
-119.25379,107,17.746655
-101.503456,66,17.768429
-121.78269,107,17.828316
-111.96594,54,17.985051
-112.733536,73,18.00751
-222.24689,1540,18.071451
-117.85319,90,18.215522
-116.16371,58,18.299787
-107.115654,1600,18.475376
-107.29116,54,18.541461
-107.35475,79,18.553676
-116.44746,58,18.601475
-106.42679,75,18.820681
-125.52033,387,63.289257
-111.27605,46,63.334168
-111.460365,48,63.655303
-103.73287,44,63.708645
-118.80386,96,63.830508
-111.81002,50,64.135141
-113.369774,47,64.229656
-117.22135,1600,64.411316
-103.29869,68,64.992563
-102.05954,97,65.063136
-104.89602,70,65.593892
-108.568146,1600,66.327537
-106.034256,48,66.737387
-114.47493,57,67.22432
-121.12026,1600,70.477141
-116.24237,82,71.172679
-100.94218,1600,71.98539
-107.04014,1600,72.287814
-101.51745,1600,73.082475
-110.84515,1600,73.137207
-117.867424,1600,73.615748
-117.11551,68,73.670198
-123.39897,1600,73.766362
-101.806114,1600,74.004585
-113.006744,1600,74.123228
-109.00271,1600,74.210229
-110.34636,75,74.322509
-98.80759,1600,74.350736
-113.404495,54,74.479425
-98.290596,1600,74.64999
-112.941154,52,74.770365
-98.353165,1600,74.819019
-103.77833,1600,74.819049
-108.79596,82,74.839254
