#{"t_start": 1686151678.371226, "env_id": null}
r,l,t
-110.61744,42,0.772965
-109.35583,48,0.834468
-109.908745,51,0.870435
-110.51228,51,0.870507
-111.91206,55,0.916311
-111.256615,60,0.970127
-114.2112,62,0.993372
-98.508224,65,1.026373
-99.59117,70,1.082254
-115.043144,71,1.099734
-101.60316,71,1.099814
-102.88349,72,1.113964
-116.06657,83,1.229251
-117.50545,87,1.276517
-100.97249,87,1.276662
-101.104645,89,1.299945
-117.75244,95,1.364215
-114.20962,53,1.430298
-104.561745,57,1.510285
-106.04181,109,1.524436
-107.55754,56,1.549112
-126.00905,112,1.563086
-103.443855,116,1.608026
-121.78122,128,1.732612
-109.87411,58,1.746236
-107.42036,68,1.794358
-108.41924,50,1.794495
-104.022385,47,1.808556
-121.972244,63,1.82305
-111.25581,72,1.898356
-117.86612,73,1.922975
-107.67102,45,2.017681
-108.556046,40,2.05185
-104.517075,109,2.18677
-118.01689,60,2.226697
-102.666855,64,2.240489
-104.25288,75,2.2749
-100.41264,94,2.330735
-113.48801,48,2.355417
-105.778694,58,2.443948
-101.14544,69,2.783544
-111.450645,42,2.823399
-103.24037,81,2.823487
-109.30046,62,2.889755
-103.40989,54,2.93439
-135.81566,240,2.989585
-107.801445,52,3.023861
-105.10225,117,3.047331
-137.91628,252,3.12196
-116.550934,77,3.135957
-118.979935,165,3.211713
-100.623726,108,3.256812
-108.933426,44,3.312823
-107.85371,48,3.357357
-121.383,112,3.485654
-102.34921,55,3.545337
-117.39055,50,3.545411
-116.08731,70,3.569982
-100.13754,127,3.645965
-113.750244,49,3.67039
-100.218155,86,3.84515
-101.48891,74,3.845222
-119.19497,83,4.119118
-112.92874,76,4.14474
-111.44778,100,4.239475
-117.37627,66,4.297675
-101.48046,75,4.494249
-122.82326,103,4.624816
-108.464096,82,5.045552
-123.493774,142,5.10154
-112.537155,61,5.290064
-103.96434,127,5.518587
-112.809616,92,6.027425
-100.42895,79,6.124938
-107.10488,91,6.478465
-173.58424,772,10.195842
-180.85344,943,10.599509
-110.67445,46,10.700055
-103.043465,90,11.608701
-107.6506,49,12.139111
-101.97294,49,12.673402
-111.04085,68,13.401865
-106.58586,59,14.033409
-112.098465,54,14.621807
-219.62105,1272,14.860532
-102.211525,82,15.499438
-106.81366,81,15.730621
-100.64178,69,16.22939
-115.53739,1600,17.704008
-122.1113,1600,17.704069
-116.72264,1600,17.704084
-123.43861,1600,17.704093
-118.21183,1600,17.704101
-115.24841,1600,17.704112
-110.119804,1600,17.704118
-118.4588,1600,17.704126
-113.03281,1600,18.160829
-111.63927,49,18.240005
-108.76199,1600,18.265643
-104.864655,57,18.33568
-101.54375,80,18.58229
-121.53172,81,18.59657
-109.60408,1600,18.686095
-102.8315,92,18.721214
