#{"t_start": 1686168585.6642778, "env_id": null}
r,l,t
-108.53783,44,0.562129
-111.4814,50,0.612828
-100.7689,55,0.655252
-102.479416,56,0.668959
-115.16743,56,0.668991
-114.71471,57,0.679832
-107.04304,58,0.690805
-114.32049,60,0.709502
-109.97345,61,0.723172
-109.250206,61,0.723196
-112.58935,62,0.739851
-112.12307,62,0.739879
-104.81855,62,0.739892
-103.02408,64,0.759089
-118.33549,66,0.778209
-117.87175,72,0.831147
-102.93216,74,0.8526
-101.943214,74,0.852633
-120.31546,77,0.885056
-117.46948,77,0.885088
-118.11715,77,0.885099
-100.40337,80,0.911891
-103.24147,84,0.945796
-122.3871,89,0.987378
-105.874084,40,1.091794
-110.51815,45,1.126245
-124.07097,107,1.137403
-107.10931,60,1.203854
-122.13721,120,1.246597
-102.9366,67,1.273726
-109.29063,45,1.292796
-102.30414,77,1.311638
-102.28735,65,1.330709
-118.85466,70,1.358395
-110.38763,49,1.372321
-100.076324,77,1.391527
-102.94619,98,1.457035
-99.687355,65,1.457067
-100.66167,70,1.475964
-103.80123,92,1.558432
-110.371216,52,1.602929
-100.381325,104,1.617272
-100.08766,83,1.6173
-100.495186,96,1.63666
-101.023094,102,1.648011
-118.531555,107,1.659287
-103.864845,48,1.719471
-101.38556,103,1.754658
-105.95636,69,1.830088
-100.77618,79,1.841235
-120.906685,90,1.901187
-105.1392,63,1.928194
-106.50414,70,1.947508
-105.65692,117,2.022786
-106.239914,38,2.054254
-109.13036,66,2.065616
-104.01943,59,2.092906
-104.02863,65,2.211468
-107.04312,67,2.211516
-100.28926,64,2.222809
-102.58951,158,2.258487
-106.42229,76,2.318312
-123.47804,101,2.354074
-115.29232,111,2.381787
-119.537476,72,2.393123
-112.43954,63,2.612083
-106.52422,88,2.612127
-110.49251,50,2.652284
-115.10045,63,2.802346
-103.26497,64,2.937364
-137.5469,206,3.119643
-124.655754,137,3.131247
-98.247925,68,3.208748
-97.826645,105,3.239268
-99.72741,98,3.239292
-108.96335,95,3.479118
-103.348,65,3.515842
-103.25626,59,3.64439
-102.86029,68,3.799357
-106.28522,67,4.058237
-120.393585,114,4.112735
-122.59749,82,4.502748
-116.544426,87,4.802284
-112.50656,45,4.890848
-106.22466,56,5.377568
-100.97299,66,5.937856
-123.63478,88,6.695349
-105.58901,93,7.477402
-104.43788,90,8.238745
-113.9379,1600,14.109215
-110.46728,1600,14.109282
-103.55065,1600,14.109296
-116.19941,1600,14.109305
-113.11725,1600,14.109313
-126.92141,1600,14.109319
-110.51132,47,14.515324
-115.09806,51,14.551522
-107.06205,1600,14.63114
-119.68737,1600,14.777535
-101.26114,108,15.041213
-113.28097,67,15.112069
-105.77206,41,15.14843
-102.48087,59,15.159819
-113.84444,1600,15.171289
-120.84469,121,15.182789
-108.09726,1600,15.251513
-117.67338,131,15.271275
-110.83184,1600,15.290895
-102.25098,1600,15.368132
-104.903,1600,15.510319
-117.45222,1600,15.522021
-103.28969,61,15.598736
-102.93107,123,15.642707
-105.52879,61,15.654044
-111.16723,51,15.699589
-109.75832,1600,15.738613
-102.60311,65,15.738664
-111.18204,1600,15.807166
-98.47934,60,15.818733
-119.0874,76,15.846526
-107.279076,1600,15.857999
-125.66459,80,15.869488
-116.531334,1600,15.937944
-124.76191,1600,15.966351
-119.61928,1600,16.002448
-111.47624,51,16.063717
-110.14082,1600,16.128145
-109.88208,53,16.142776
-128.84053,1600,16.14281
-103.36077,99,16.162571
-116.89633,90,16.18198
-106.784584,56,16.218347
-100.009895,81,16.262921
-133.65889,243,16.285903
-108.6282,1600,16.285965
-102.26128,62,16.313861
-113.08534,51,16.348094
-103.08629,65,16.348146
-107.42853,45,16.367555
-101.84783,58,16.500778
-113.553024,1600,16.552743
-105.01344,56,16.580055
-121.6052,68,16.623713
-101.47384,60,16.684083
-118.274826,1600,16.743859
-116.645935,62,16.811536
-117.52474,63,16.889926
-98.778656,82,16.889972
-107.577515,82,16.942282
-101.50629,76,16.953757
-121.620346,84,17.046082
-109.621506,101,17.073279
-106.67967,39,17.084548
-123.771515,108,17.09574
-104.410545,65,17.123801
-106.057236,1600,17.179188
-105.80057,1600,17.179235
-103.51397,60,17.215452
-126.84896,162,17.267208
-112.16366,55,17.302673
-112.650475,92,17.314169
-103.90322,186,17.325553
-99.48842,52,17.361928
-113.37296,1600,17.467891
-113.55416,47,17.545095
-103.02235,53,17.556334
-97.21709,70,17.584548
-106.90969,1600,17.604213
-106.66979,48,17.615627
-104.77981,81,17.627051
-101.26083,70,17.687131
-101.934746,80,17.834801
-107.78025,63,17.862687
-105.03019,62,17.899018
-100.36048,66,17.976196
-107.849625,99,18.012146
-112.04572,50,18.074813
-102.70361,56,18.08632
-113.63677,1600,18.114637
-102.64139,78,61.056911
-97.84666,103,61.056978
-114.092926,66,61.085158
-105.75306,82,61.130672
-110.16238,117,61.167203
-103.803764,104,61.352277
-103.69144,87,61.388809
-106.32918,40,61.408396
-101.782364,75,61.42833
-109.636635,48,61.482198
-112.89996,1600,61.609243
-104.7875,79,61.770452
-115.82808,51,62.03986
-119.95635,74,62.059837
-116.73389,56,62.252683
-126.292816,346,62.432657
-100.61701,75,62.701953
-100.20949,92,62.830258
-119.34662,170,62.934951
-114.42482,52,63.157439
-120.49383,88,63.598639
-116.97635,97,63.7805
-121.222496,80,64.458253
-113.84361,67,65.029068
-123.106384,1600,65.066941
-115.297554,54,65.532045
-114.42146,1600,71.843205
-109.376,1600,72.173618
-124.64834,1600,72.463933
-109.04533,1600,72.496308
-112.85741,75,72.496353
-113.97639,1600,72.50834
-96.78203,1600,72.771196
-91.69084,1600,72.899521
-114.28082,52,72.946097
-104.88717,1600,72.958026
-104.071266,1600,72.978867
-116.01802,98,73.033124
-105.60157,69,73.102489
-109.20093,48,73.197388
-114.545906,1600,73.243165
-96.864555,1600,73.556091
-105.44877,71,73.711683
-117.589,91,73.765745
-111.21158,1600,73.786102
-103.16003,1600,73.823189
-107.84437,58,74.066186
-94.779465,1600,74.06624
-101.96742,100,74.066253
-102.17863,101,74.11945
-104.89884,142,74.190618
-102.449,1600,74.210911
-106.86917,1600,74.422215
-112.21465,1600,74.459067
-99.6276,86,74.471481
-107.90226,42,74.493178
-105.51028,1600,74.586498
-109.9861,1600,74.653202
-107.7242,1600,74.666433
-105.30611,1600,74.69843
-109.90859,105,74.719536
-97.97771,87,74.857259
-103.66395,1600,74.926941
-101.01582,1600,74.963688
-101.25502,71,75.116324
-91.96823,1600,75.152672
-117.45715,58,75.180988
-111.117485,1600,75.195789
-112.22342,60,75.195815
-105.60745,1600,75.216148
-105.38825,65,75.277333
-106.2419,79,75.305415
-112.351204,60,75.457203
-105.46799,64,75.528364
-113.20181,50,75.632192
-102.60414,131,75.668325
-101.281494,52,75.75474
-104.708374,74,75.774765
-117.39409,63,75.828618
-112.90161,74,75.865479
-108.12932,1600,76.079015
-120.83513,69,76.140964
-110.81042,1600,76.262383
-100.36137,69,76.439591
-114.325356,50,76.519439
-104.583664,107,76.800754
-103.59284,82,76.855036
-115.64458,57,76.934183
-109.87886,1600,76.995832
-117.6396,63,77.069942
-103.7096,97,77.114407
-107.39652,1600,77.434429
-105.15556,68,77.521702
-102.44417,80,77.55002
-118.10415,67,77.645125
-108.83154,69,77.707016
-110.036896,96,77.867618
-106.17344,80,78.24754
-102.857025,79,78.359487
-120.695885,78,78.412772
-116.6945,91,78.641479
-121.13473,1600,121.735962
-110.5713,73,121.811544
-103.834435,1600,122.260942
-114.41675,62,122.300062
-124.87932,151,122.39881
-116.584206,105,122.746479
-113.85503,57,122.895273
-118.39951,90,123.052957
-116.24695,63,123.294432
-100.49087,71,123.512662
-104.25427,76,123.712067
-118.485016,81,123.998317
-118.01987,1600,129.286072
-99.52868,1600,129.324469
-92.879944,1600,129.820374
-112.777466,1600,129.876868
-106.456245,1600,129.950902
-109.902016,1600,130.769992
-96.71267,1600,130.808437
-108.517204,119,130.931216
-89.93304,1600,131.058506
-100.99116,1600,131.05861
-101.32952,1600,131.182894
-95.268974,1600,131.203928
-116.04639,66,131.35892
-101.36594,1600,131.422877
-102.46717,1600,131.460972
-108.02948,64,131.50752
-104.92093,1600,131.686421
-103.20301,74,131.715194
-113.26849,64,131.751534
-96.9212,1600,131.829544
-113.13782,53,131.971957
-105.8643,63,131.983866
-102.949,75,132.121844
-88.62002,1600,132.133844
-95.98403,1600,132.162585
-102.44039,1600,132.174594
-113.24878,80,132.423257
-95.49485,1600,132.434976
-99.17375,1600,132.608558
-104.023224,1600,132.646737
-97.34908,1600,132.735409
-92.60015,1600,132.756386
-102.23807,95,132.827056
-109.40379,108,132.935881
-112.55186,47,133.076059
-103.85884,64,133.309928
-113.23402,74,133.416311
-114.8519,54,133.416367
-99.88853,96,133.47105
-108.000046,31,133.585693
-102.73762,74,133.722585
-120.277596,148,133.751436
-92.57521,1600,133.797657
-102.14348,52,134.039101
-100.95933,70,134.084469
-112.296555,64,134.350371
-95.23784,1600,134.431267
-94.788826,1600,134.545381
-111.9666,79,134.729962
-106.146034,52,134.886842
-106.607155,51,135.176391
-89.29056,1600,135.382858
-106.96951,76,135.550003
-102.98993,1600,135.62172
-110.03004,52,135.633492
-125.00391,70,136.236908
-105.1538,78,136.299325
-104.69649,1600,136.438053
-91.18145,1600,137.628046
-94.72055,1600,137.828928
-101.55569,1600,138.116137
-100.70494,74,138.274381
-101.00268,71,138.784823
-116.88104,59,138.839189
-126.34941,104,182.414865
-124.01161,162,183.815091
-91.05201,1600,186.199187
-86.72996,1600,186.237693
-93.30364,1600,186.69588
-81.721664,1600,186.76827
-99.295395,88,186.980508
-107.44392,58,187.486333
-83.58281,1600,187.567728
-105.59884,1600,187.812987
-87.842,1600,187.954334
-99.546875,1600,188.112229
-89.48941,1600,188.43436
-88.567116,1600,188.497693
-101.51313,1600,188.577323
-103.24939,1600,188.863769
-96.43269,1600,188.875993
-89.05556,1600,188.904788
-88.59226,1600,188.916712
-108.02634,78,189.121219
-84.392525,1600,189.167371
-101.87056,88,189.348195
-112.41017,62,189.444461
-113.47049,69,189.47349
-85.626945,1600,189.561213
-104.80155,73,189.75953
-104.47055,55,189.982236
-116.99966,73,190.260994
-109.993904,1600,190.293646
-92.709595,1600,190.293683
-109.99048,146,190.314055
-87.7319,1600,190.599676
-80.412506,1600,190.62994
-106.805,94,190.745888
-109.40172,65,190.867653
-88.14126,1600,190.964798
-113.67522,61,191.164186
-114.88102,56,191.239882
-96.03334,1600,191.23992
-89.44734,1600,191.430096
-111.2723,68,191.468309
-116.58935,60,191.764903
-101.38061,89,191.94792
-129.95714,186,192.239738
-82.94584,1600,192.277042
-109.44649,46,192.356461
-78.003654,1600,192.445235
-99.30901,82,192.491876
-112.64088,47,192.655649
-78.30788,1600,193.131277
-90.249596,1600,193.195234
-101.92259,66,193.232723
-80.13517,1600,193.337597
-106.86078,103,193.391598
-107.05737,38,193.529743
-100.581985,75,193.786575
-106.82292,67,193.918508
-103.04982,68,194.119792
-117.58267,97,194.234065
-102.92996,52,194.245748
-113.36163,62,194.658193
-89.875374,1600,194.748252
-111.593216,49,195.173382
-83.90261,1600,195.696742
-108.25243,60,196.219567
-111.82597,49,196.646738
-85.962265,1600,197.951833
-102.26733,83,198.839572
-77.49133,1600,243.298996
-84.084305,1600,243.745619
-91.66101,1600,243.818651
-105.69702,66,243.87435
-104.66346,64,244.423938
-71.815414,1600,244.529563
-88.83075,1600,244.610118
-83.67957,1600,244.851301
-75.99541,1600,244.989701
-80.50254,1600,245.146078
-105.74398,88,245.367227
-113.99149,56,245.470537
-78.60177,1600,245.524774
-110.45339,52,245.595399
-62.657215,1600,245.927685
-116.99156,62,246.057089
-105.795654,81,246.068395
-101.73761,57,246.088266
-73.93422,1600,246.18445
-74.186745,1600,246.454243
-80.6169,1600,246.570584
-100.943886,63,246.615537
-118.5249,73,246.719004
-83.5984,1600,246.840243
-105.19645,54,247.035088
-68.906685,1600,247.116889
-115.7711,58,247.11692
-95.59738,1600,247.144984
-82.96432,1600,247.165431
-107.545456,82,247.17704
-124.32778,157,247.296441
-116.87753,80,247.536094
-116.90209,55,247.623289
-100.525566,68,247.710864
-115.67426,71,247.781223
-107.22284,57,247.79299
-74.07876,1600,247.813388
-103.61853,51,247.986318
-85.97037,1600,248.082701
-77.15175,1600,248.271178
-75.47661,1600,248.308596
-108.240875,74,248.455303
-116.55209,99,248.492832
-101.988884,63,248.817303
-106.95239,108,249.013085
-100.38276,68,249.041841
-73.4866,1600,249.105079
-82.3738,1600,249.185626
-91.77149,1600,249.277539
-106.635765,96,249.331923
-108.7303,52,249.481806
-100.40433,75,249.481869
-107.70886,46,249.875288
-77.43935,1600,250.056093
-112.747246,105,250.18424
-119.17412,72,250.747157
-71.338715,1600,250.808815
-120.60447,78,250.929831
-66.45825,1600,251.121363
-81.74556,1600,251.133587
-117.52276,65,251.317226
-80.003914,1600,251.55486
-104.53972,60,251.838415
-116.704056,88,251.900819
-70.78427,1600,252.064842
-102.64243,73,252.694334
-86.05991,1600,253.535491
-109.258354,44,253.914264
-104.853035,64,254.464782
-69.54955,1600,255.549686
-105.74532,128,255.570527
-115.273384,63,256.118549
-71.30727,1600,257.684966
-70.007,1600,257.756966
-109.95783,58,258.187218
-111.606224,67,258.333601
-60.34614,1600,258.363301
-77.91515,1600,258.47289
-71.12956,1600,258.803335
-102.71721,50,258.916516
-101.08599,80,259.085396
-118.80795,108,259.182449
-112.402054,50,259.279334
-64.91723,1600,259.471371
-75.92249,1600,260.061105
-67.1929,1600,260.184005
-100.62882,131,260.605668
-113.40268,68,260.651501
-78.962456,1600,260.722671
-107.226105,40,260.99442
-67.42781,1600,261.040518
-72.33344,1600,261.121572
-67.50786,1600,304.028435
-98.27662,99,304.320052
-114.293495,51,304.467352
-84.97789,1600,304.565723
-66.86827,1600,304.63685
-62.082283,1600,304.648886
-99.00532,95,304.802136
-73.37125,1600,304.83949
-107.86299,73,305.10411
-61.869576,1600,305.158434
-102.01106,66,305.220163
-101.49545,70,305.416439
-117.07643,50,305.602355
-100.016205,89,305.882857
-81.357254,1600,305.903161
-76.3223,1600,305.964716
-60.339592,1600,306.041782
-66.25396,1600,306.181496
-102.62076,68,306.193366
-59.399006,1600,306.329397
-76.86997,1600,306.716866
-116.67638,90,306.812439
-114.32146,57,307.296848
-68.76007,1600,307.572303
-62.838917,1600,307.695351
-66.00028,1600,307.892653
-58.151146,1600,308.306795
-76.19105,1600,308.587962
-57.5387,1600,308.650532
-56.94971,1600,309.428434
-116.48014,77,310.08154
-66.88526,1600,312.293403
-49.177616,1600,312.84399
-104.94769,76,313.491645
-72.85863,1600,315.048003
-63.392513,1600,315.574413
