#{"t_start": 1686168585.6647863, "env_id": null}
r,l,t
-107.12911,38,0.517853
-115.297455,47,0.597261
-114.92812,47,0.597304
-113.58181,53,0.648534
-111.48082,54,0.659578
-103.81738,55,0.670478
-113.09079,62,0.728441
-106.82011,65,0.754976
-113.68896,67,0.773632
-106.10582,68,0.78456
-108.789375,69,0.795607
-102.7971,70,0.806534
-103.35552,71,0.817436
-120.040115,72,0.837072
-105.60252,72,0.837104
-106.24385,72,0.837117
-102.86338,72,0.837126
-105.68355,74,0.856465
-100.83533,81,0.915254
-105.72165,89,0.981599
-111.84988,91,1.000583
-104.7728,38,1.015717
-122.56146,95,1.043188
-104.98251,101,1.094305
-107.19662,57,1.121409
-121.16722,80,1.238061
-104.69941,54,1.265841
-112.29594,57,1.334652
-119.09973,63,1.403628
-104.48346,87,1.431389
-102.85491,72,1.467322
-97.76948,80,1.614551
-103.75871,83,1.707806
-115.46317,62,1.777118
-108.28437,50,1.84155
-116.75769,97,1.852887
-99.471306,65,1.998779
-102.650696,62,2.010147
-116.959274,141,2.055561
-112.37738,45,2.176214
-125.69776,120,2.318213
-113.394966,58,2.55589
-103.51484,48,2.592396
-119.33437,91,2.646219
-108.876236,41,2.674002
-110.89621,55,3.042392
-100.40251,121,3.073124
-116.70468,61,3.187852
-134.21832,316,3.538452
-102.49208,70,3.649714
-104.7902,50,3.968075
-115.73695,50,4.085233
-103.44531,120,4.223138
-102.33977,151,4.379047
-117.2854,85,4.706299
-123.77928,94,5.036518
-117.90728,65,5.270327
-118.43821,104,5.282332
-114.04995,64,5.835377
-107.39943,110,5.992833
-108.66199,47,6.241199
-117.14381,63,6.532591
-102.51181,78,6.90667
-106.106575,64,7.078623
-119.69113,62,7.61002
-119.10988,103,8.487322
-100.587234,82,9.316959
-116.91479,89,10.070813
-104.207726,1600,14.117702
-106.58712,1600,14.117789
-121.87926,1600,14.117802
-115.13245,1600,14.11781
-113.34407,1600,14.117818
-115.69556,1600,14.117825
-108.89922,1600,14.117832
-119.55568,1600,14.117839
-126.012695,1600,14.117846
-103.94368,1600,14.522371
-111.71658,53,14.576838
-111.007126,1600,14.597633
-100.301956,60,14.642445
-108.99168,1600,14.664439
-110.38666,63,14.675991
-107.011154,64,14.687517
-129.5281,1600,14.72772
-99.672935,68,14.727794
-116.28682,1600,14.739859
-120.26439,1600,14.760082
-110.79413,1600,14.775068
-113.92611,1600,14.775119
-114.960884,1600,14.943769
-132.42212,1600,14.972388
-105.94214,1600,15.025643
-107.96725,1600,15.054496
-103.47678,49,15.191185
-101.89813,54,15.214143
-106.65382,59,15.214177
-110.51003,59,15.258951
-116.852295,73,15.270517
-124.84257,1600,15.283062
-113.48635,81,15.32777
-106.56168,71,15.379171
-101.13909,69,15.390364
-98.97354,85,15.461595
-118.34976,77,15.461638
-101.80459,91,15.497759
-111.309654,53,15.533865
-105.23441,1600,15.570204
-100.07809,71,15.589883
-102.474945,66,15.626129
-115.39783,1600,15.670872
-106.67606,51,15.732129
-115.75646,56,15.784124
-98.500694,1600,15.803852
-116.24287,73,15.871965
-115.01588,59,15.90801
-99.95288,75,15.936216
