#{"t_start": 1686168591.8698711, "env_id": null}
r,l,t
-113.95264,52,0.609905
-114.13544,54,0.628916
-106.66903,55,0.640074
-113.411224,56,0.651153
-102.54099,58,0.669954
-116.76854,59,0.680757
-102.56736,64,0.723052
-104.58902,65,0.734099
-102.97958,67,0.75328
-118.11066,69,0.772
-104.71831,73,0.8068
-100.42557,76,0.833376
-105.508156,77,0.844358
-102.6414,80,0.87092
-99.62601,83,0.897502
-117.7041,85,0.91587
-102.613655,88,0.942175
-102.156204,90,0.964143
-104.24799,90,0.964173
-100.80966,91,0.975239
-106.65545,96,1.022187
-107.398315,44,1.081307
-111.43004,40,1.116583
-120.68692,115,1.18345
-109.47673,50,1.218479
-128.85779,120,1.229378
-115.28885,50,1.25642
-105.895195,134,1.348195
-121.778275,69,1.447803
-102.28104,96,1.514628
-101.136665,69,1.561424
-121.58047,107,1.561471
-100.19496,65,1.581221
-104.023415,80,1.600572
-101.80048,85,1.707347
-105.44271,56,1.743542
-98.49522,91,1.771063
-100.54543,93,1.91985
-105.22914,86,1.931171
-110.118484,100,1.953382
-110.156044,57,1.953412
-99.88226,118,1.980653
-106.2148,93,2.040423
-101.53177,67,2.14892
-106.731674,79,2.269943
-123.12318,168,2.308895
-100.419685,93,2.339151
-104.08168,67,2.360152
-103.656944,67,2.53911
-102.22767,98,2.60095
-102.03868,81,2.637261
-118.04521,54,2.74764
-119.195145,95,2.800649
-120.26154,96,2.90011
-126.891464,129,3.077537
-102.70697,60,3.077627
-99.28587,83,3.097351
-101.96576,97,3.198427
-101.93657,58,3.267401
-104.2529,58,3.303387
-119.01542,135,3.347991
-120.03897,140,3.545336
-95.24295,109,3.564866
-96.99869,113,3.633494
-100.14832,80,3.767857
-105.315346,62,3.878724
-120.91762,62,4.078197
-112.357544,60,4.078272
-99.85663,99,4.123317
-110.14433,51,4.210265
-113.086975,84,4.599038
-103.46724,119,4.654126
-122.53902,77,4.741464
-114.37103,75,4.853556
-112.4381,52,5.04865
-108.327095,58,5.238147
-139.11755,289,5.384026
-118.53897,64,5.597837
-102.99423,59,5.742636
-119.41165,73,6.003965
-116.72723,62,6.123988
-102.13884,84,6.452337
-114.11175,62,6.531166
-115.00829,63,6.661967
-114.85165,67,7.099535
-122.15194,95,7.464442
-106.74216,63,7.634613
-107.2188,54,8.101225
-110.39429,84,8.88859
-181.95486,1021,9.514237
-107.84528,39,9.846785
-124.003296,154,10.194707
-115.840866,73,10.469355
-99.33937,74,10.82929
-118.2521,56,10.949915
-110.27681,58,11.327497
-113.98557,83,11.660359
-105.695854,74,11.955164
-112.70036,1600,14.019408
-109.37985,1600,14.019465
-111.17291,1600,14.019478
-109.33531,1600,14.019487
-110.36054,1600,14.019494
-106.77413,1600,14.019501
-103.196594,1600,14.019507
-115.62015,1600,14.019514
-114.524925,1600,14.476636
-101.27267,1600,14.488529
-115.58293,58,14.508403
-110.5856,1600,14.561647
-119.67025,1600,14.573111
-114.25044,1600,14.698485
-116.79666,1600,14.742509
-121.47761,89,14.778265
-99.62289,91,14.798309
-109.14691,108,14.943274
-113.34387,49,14.996435
-104.37599,61,15.025047
-110.4093,118,15.036686
-98.85886,64,15.051202
-106.132515,1600,15.051232
-100.76937,70,15.182254
-106.8946,1600,15.182319
-114.37503,63,15.261105
-108.7136,1600,15.397151
-125.32738,1600,15.434039
-107.00242,77,15.479431
-133.14061,1600,15.540231
-104.800316,64,15.568582
-117.67616,93,15.60773
-103.98829,97,15.607776
-117.948845,67,15.644727
-118.86926,73,15.697084
-115.42324,56,15.757491
-126.3353,1600,15.81729
-106.58536,52,15.861242
-126.91395,129,16.080506
-108.09702,69,16.080592
-104.862045,61,16.137214
-110.88382,56,16.238577
-102.33639,70,16.250074
-104.16848,76,16.351957
-101.797455,136,16.371927
-102.69644,51,16.523635
-122.60266,128,16.551503
-122.12124,124,16.67939
-117.95642,122,16.865139
-119.15288,1600,16.885213
-99.60113,75,16.896951
-94.41976,1600,16.908616
-141.024,336,16.945277
-102.29558,1600,17.013741
-113.32233,1600,17.115513
-99.89117,78,17.202456
-103.988785,66,17.256965
-106.38726,106,17.468543
-101.46684,75,17.561831
-115.36476,63,17.598537
-100.33734,88,17.700359
-103.90165,75,17.802649
-100.494606,68,17.830726
-139.5251,267,17.900219
-97.43986,1600,17.936393
-122.52274,1600,61.028372
-107.38641,48,61.065477
-103.08689,63,61.290786
-106.91889,94,61.368206
-111.28656,63,61.420849
-102.34295,98,61.456929
-126.61115,1600,61.559176
-112.07356,1600,61.756143
-100.82442,82,61.767916
-111.85889,109,61.920424
-103.76006,46,61.956981
-120.80627,103,62.304139
-116.99195,80,62.453757
-106.92366,94,62.574197
-114.912674,76,62.620063
-107.518684,55,63.081777
-109.37801,64,63.120366
-120.073006,1600,63.377133
-117.37651,86,63.84842
-116.82842,99,63.927998
-119.11597,1600,64.38637
-102.36783,101,64.788418
-114.287384,50,64.816989
-105.4281,78,65.477428
-105.88233,96,66.293282
-118.03882,68,66.865344
-121.42743,102,67.730925
-113.32742,69,68.322412
-114.24544,1600,68.506118
-111.942726,1600,68.803686
-110.26647,52,68.950305
-102.157394,93,69.634166
-110.62144,57,70.12251
-113.382286,1600,70.879023
-110.465004,1600,70.879079
-106.48233,1600,71.370019
-105.885666,67,71.449026
-126.22164,89,71.637911
-105.71978,1600,71.876848
-95.46332,1600,71.891803
-103.75324,60,71.891838
-111.354515,62,71.986852
-111.56096,1600,72.031892
-105.727684,52,72.092828
-107.58982,44,72.272672
-95.57474,1600,72.410016
-107.44529,48,72.446373
-106.96896,1600,72.692541
-102.55837,85,72.822039
-108.67852,1600,72.919355
-108.21446,58,72.947597
-111.822876,1600,72.97571
-124.84495,85,73.012878
-105.830574,1600,73.082908
-96.7915,1600,73.193958
-115.5708,1600,73.214825
-117.51643,93,73.740755
-105.34503,1600,73.740815
-111.03352,61,73.752401
-104.92326,1600,73.763874
-107.52355,1600,73.800639
-119.47824,92,73.829036
-121.905685,102,73.857179
