#{"t_start": 1686168654.2364247, "env_id": null}
r,l,t
-109.8039,47,0.55525
-104.88252,58,0.652586
-115.01687,58,0.652611
-112.39317,58,0.652624
-103.87986,59,0.663555
-102.29536,63,0.698128
-118.924225,67,0.732532
-119.035484,71,0.766957
-107.040825,74,0.799353
-108.32289,74,0.79938
-105.730354,74,0.799392
-99.48841,75,0.810369
-101.71173,77,0.829413
-117.96822,82,0.871971
-107.27744,41,1.011494
-109.62482,52,1.103883
-123.02619,111,1.115191
-115.40129,73,1.321727
-100.02192,66,1.38238
-121.03423,77,1.393753
-108.931885,71,1.405106
-120.06464,79,1.449654
-116.62817,98,1.502653
-106.32383,59,1.618075
-118.48804,88,1.759202
-110.627,46,1.835822
-104.06741,71,1.928101
-104.458885,70,1.995923
-104.825775,73,2.015146
-105.076355,52,2.195697
-116.97511,90,2.369416
-114.1439,58,2.413799
-108.90674,45,2.57189
-104.47708,80,2.666569
-119.1038,51,2.803029
-107.23858,95,2.815762
-106.81819,80,3.090533
-101.87786,62,3.325018
-121.59657,77,3.459998
-104.29063,67,3.653847
-118.98126,132,3.690579
-103.4364,91,4.093619
-100.8921,60,4.602613
-108.44049,103,5.459733
-171.03802,686,5.952998
-112.67989,62,5.98145
-111.59464,47,6.3506
-106.35448,84,6.684602
-124.03571,149,7.931777
-174.46187,961,9.614178
-110.39578,1600,13.688373
-122.25791,1600,13.688434
-114.50637,1600,13.688445
-106.192375,1600,13.688468
-102.94422,1600,13.688478
-111.50976,1600,13.688485
-125.06752,1600,13.688492
-124.36634,1600,13.688498
-113.58153,1600,13.688505
-125.78841,1600,13.688511
-101.30355,1600,13.688517
-112.25672,1600,13.688523
-107.03334,1600,13.688529
-100.86899,1600,13.688535
-120.08132,1600,13.688541
-118.79311,1600,13.688547
-113.59364,46,14.06415
-116.32551,1600,14.075516
-108.40743,48,14.089202
-117.40265,52,14.124772
-116.15816,54,14.143857
-115.33626,56,14.162969
-112.8441,1600,14.190877
-99.951294,63,14.226544
-103.26807,71,14.294407
-109.669525,72,14.308213
-98.595985,72,14.308254
-121.64591,1600,14.331201
-107.3637,1600,14.33125
-102.66231,1600,14.342762
-103.64701,76,14.354053
-116.8249,78,14.373322
-105.70808,1600,14.40884
-102.51719,90,14.475644
-104.80999,92,14.494427
-114.42269,1600,14.64213
-100.52475,65,14.718664
-117.95908,74,14.740952
-106.467476,69,14.74098
-118.57352,71,14.793688
-108.88684,59,14.855437
-103.0169,56,14.855485
-103.004875,81,14.907262
-108.05128,1600,14.935098
-115.27002,61,15.003513
-101.36553,86,15.099606
-110.24157,88,15.099669
-106.37526,115,15.111759
-109.95019,94,15.139936
-104.003174,73,15.280797
-102.55654,1600,15.395077
-104.61539,62,15.395126
-107.96489,75,15.395138
-114.411446,60,15.524139
-122.28828,145,15.594962
-115.110466,57,15.594999
-118.76952,59,15.622746
-109.44816,98,15.649976
-105.141785,135,15.669087
-105.8263,94,15.7317
-118.613556,113,15.731727
-102.389984,65,15.956648
-118.489784,60,16.040283
-108.093346,77,16.059547
-122.15163,96,16.110081
-114.27761,59,16.172561
-113.668106,67,16.172585
-128.1203,128,16.20874
-110.31209,71,16.236307
-110.090866,1600,16.255771
-102.22778,76,16.307311
-102.24705,86,16.463812
-110.62418,90,16.499787
-100.17652,69,16.552039
-123.44447,121,16.63624
-119.731674,71,16.721486
-104.893654,61,16.732626
-115.455956,62,16.76884
-104.28964,68,16.837054
-103.427055,98,16.888662
-107.97941,58,16.965899
-116.605484,1600,17.058987
-110.0961,106,17.086515
-105.894684,55,17.114257
-109.16424,1600,17.325877
-108.43144,1600,17.362334
-117.06642,68,17.60956
-113.57604,54,60.426221
-101.07773,84,60.463196
-111.46153,55,60.581469
-105.47781,83,60.648965
-108.62157,65,60.70132
-107.61978,58,60.918634
-106.672646,55,60.930085
-108.724976,81,61.089052
-103.83038,54,61.158172
-104.026825,76,61.2281
-110.14618,45,61.30663
-116.51874,61,61.451791
-103.568115,89,61.913801
-105.93513,68,62.026128
-120.39929,102,62.172204
-109.20401,85,62.741963
-107.79716,1600,62.837853
-118.24167,110,62.849639
-114.49906,88,62.918553
-103.04332,61,63.361744
-104.95546,1600,64.436754
-104.49586,50,64.855727
-122.9838,179,64.875175
-106.98555,71,65.45227
-116.4889,1600,66.077905
-173.76205,1202,69.789222
-109.50105,1600,70.191652
