#{"t_start": 1686161203.2110026, "env_id": null}
r,l,t
-109.72399,45,0.529385
-115.00275,49,0.567573
-109.44398,49,0.567599
-105.59019,62,0.676301
-114.71344,63,0.690191
-116.46345,63,0.690215
-118.97273,71,0.760596
-113.89197,71,0.76062
-105.648315,73,0.780169
-104.98495,78,0.824203
-122.026596,82,0.859452
-124.508484,85,0.889422
-103.562836,85,0.889446
-98.56313,93,0.958261
-101.24289,57,1.034504
-103.94726,103,1.045641
-121.1343,108,1.08917
-113.44985,47,1.108474
-118.83157,53,1.161219
-115.22016,51,1.229836
-103.83314,58,1.273159
-111.44863,41,1.317317
-110.62071,93,1.387166
-104.231735,69,1.490054
-103.18018,75,1.518064
-112.31101,50,1.664871
-119.26977,71,1.664898
-111.66085,45,1.70978
-99.58241,97,1.737463
-116.30687,57,1.979758
-130.91571,132,2.239858
-104.14574,61,2.250984
-117.396095,74,2.337593
-103.76488,80,2.348795
-103.73824,75,2.620099
-115.34375,56,2.725545
-109.91893,46,2.736885
-99.12598,76,2.907488
-103.05867,62,3.254401
-101.02919,77,3.282376
-109.01794,45,3.29376
-112.527306,68,3.321752
-108.59396,62,3.814695
-121.22923,66,4.372926
-107.29435,57,4.857578
-103.71214,89,5.61395
-106.85602,99,6.454974
-110.65739,54,6.913551
-104.64922,44,7.286959
-100.782265,76,7.932112
-128.41838,203,9.749742
-116.52219,100,10.5998
-100.59945,69,11.185861
-100.36352,79,11.860754
-115.67992,68,12.439471
-103.81599,57,12.922532
-125.32752,91,13.689359
-109.5703,1600,13.929246
-109.887054,1600,13.929272
-102.87542,1600,13.929283
-119.996544,1600,13.929292
-109.29288,1600,13.9293
-112.01338,1600,13.929307
-120.48372,1600,13.929313
-104.10565,1600,13.929319
-128.43118,1600,13.929326
-112.31163,1600,13.929332
-115.57162,1600,13.929339
-119.24809,1600,13.929345
-113.69599,1600,13.929351
-111.117035,1600,13.929357
-123.50301,1600,13.929363
-107.77088,1600,13.929369
-107.99242,48,14.327425
-100.683334,1600,14.338959
-115.92757,52,14.366906
-121.19083,1600,14.451448
-102.81586,65,14.478955
-106.852295,66,14.490272
-110.00978,1600,14.53439
-123.32604,76,14.581909
-122.15251,76,14.581933
-114.164566,1600,14.601633
-98.59845,86,14.670648
-110.73321,46,14.746246
-106.705345,1600,14.806183
-107.41103,51,14.817755
-104.32881,1600,14.863109
-130.27539,1600,14.937045
-98.87035,63,15.013628
-106.25911,128,15.044404
-102.79846,80,15.044428
-113.15856,1600,15.055663
-102.69381,70,15.11594
-107.12501,1600,15.168043
-98.83451,66,15.187571
-101.06207,77,15.264444
-117.27819,1600,15.300906
-106.49465,69,15.361878
-109.02001,1600,15.445987
-118.74755,74,15.465515
-100.357475,52,15.47658
-124.62146,105,15.512143
-104.74735,78,15.555768
-111.349945,68,15.64155
-108.80015,104,15.841529
-113.823654,50,15.936209
-124.84219,134,15.989476
-119.18977,76,16.017333
-120.25129,84,16.028514
-120.84347,94,16.080999
-111.64372,1600,16.14239
-107.84292,123,16.236524
-117.52985,80,16.531018
-119.80066,67,16.568038
-112.26088,47,16.638473
-97.7952,93,16.815832
-110.36909,87,16.826952
-102.054794,89,16.904471
-125.615685,219,17.007465
-114.14151,1600,17.052199
-103.78061,1600,17.089039
-113.06607,1600,17.11706
-106.920006,39,17.170227
-102.19163,78,17.214786
-99.37833,102,17.472584
-103.25369,76,17.500395
-110.52398,48,17.553181
-110.739365,61,17.564429
-97.61141,78,17.609086
-103.98823,71,17.728568
-102.65383,66,17.807612
-104.53064,51,60.783463
-102.092064,65,60.845632
-110.30376,66,60.908206
-112.28827,66,60.961496
-101.31322,89,61.031552
-106.350365,80,61.202195
-111.27988,222,61.365179
-109.96836,70,61.393725
-99.62059,85,61.638353
-107.95953,92,61.817707
-114.01517,54,61.829132
-107.66016,91,61.982568
-108.757195,150,63.103195
-121.31768,1600,70.275682
-115.421745,1600,70.495924
-96.854744,1600,70.495952
-104.46617,1600,70.495964
-106.54125,1600,70.495972
-98.41749,1600,70.495979
-109.64724,1600,70.495987
-94.70891,1600,70.495993
-109.60727,1600,70.496
-112.0406,53,70.748893
-110.8716,56,70.967287
-106.90968,58,70.990039
-103.04606,58,70.990062
-99.534294,1600,71.051639
-106.56807,1600,71.105199
-116.49959,1600,71.23351
-117.51566,88,71.253208
-102.7076,65,71.314354
-106.47658,48,71.394944
-104.511986,104,71.394969
-107.07692,63,71.538247
-107.75015,1600,71.599751
-97.24186,1600,71.611429
-101.050095,60,71.631067
-99.81421,75,71.709564
-98.65288,1600,71.746144
-110.226326,90,71.78259
-107.80606,51,71.843752
-109.60492,56,71.888566
-111.43557,1600,72.008456
-99.688774,1600,72.031775
-114.23254,1600,72.043192
-117.79725,1600,72.120826
-116.10104,62,72.165323
-104.641045,1600,72.20999
-101.42666,66,72.221365
-108.84835,45,72.407358
-119.109886,97,72.459973
-99.63805,86,72.504332
-113.16297,1600,72.515709
-107.30869,58,72.546669
-107.775085,94,72.546693
-94.710945,1600,72.608356
-112.754906,158,72.653058
-111.6696,56,72.664324
-112.6139,76,72.71681
-99.52504,75,72.876053
-110.29393,51,72.953301
-106.26225,127,73.006261
-102.94461,55,73.133146
-110.98216,67,73.186462
-108.673584,87,73.222916
-106.34225,84,73.251031
-111.963326,97,73.262369
-105.569336,52,73.332559
-106.67932,46,73.41109
-112.792274,85,73.455541
-99.96012,75,73.608782
-121.51357,1600,73.645466
-112.10841,49,73.656927
-110.584206,1600,73.759618
-109.972855,75,73.845496
-104.550674,152,73.873538
-114.419876,96,73.975716
-107.167755,63,74.003982
-106.44868,64,74.164173
-110.30589,99,74.192479
-114.074486,91,74.203749
-100.193504,1600,74.374244
-113.07825,69,74.443626
-112.30371,53,74.463678
-106.08564,96,74.483648
-109.16831,53,74.628676
-95.32829,1600,74.640095
-91.25426,1600,74.751921
-100.43347,75,74.846967
-110.69765,61,74.975682
-105.33322,45,75.030682
-108.78358,1600,75.184874
-113.40775,1600,75.432619
-116.74992,85,75.486826
-104.41324,67,75.606279
-120.78999,1600,75.617633
-102.81911,76,75.637387
-105.79187,1600,75.784005
-110.954155,64,76.036242
-111.05873,57,76.097978
-110.157135,123,76.243795
-109.71524,67,76.35695
-120.35806,110,76.561818
-111.981865,65,76.598335
-109.153755,49,76.668665
-104.340904,87,76.846948
-108.501434,1600,76.9173
-107.35826,75,77.004559
-110.948814,51,77.040659
-106.41576,56,77.152195
-99.3561,92,77.813154
-103.96594,123,77.927573
-112.52717,76,121.262344
-125.31609,192,121.384062
-109.101456,79,121.403916
-102.87917,66,121.83591
-108.06958,53,121.864878
-118.74836,62,121.927802
-117.10106,85,122.573063
-108.73265,55,123.046327
-99.23976,1600,127.187204
-94.87563,1600,127.187238
-107.419655,1600,127.187251
-107.53723,59,127.694053
-114.47607,59,127.694081
-113.31868,65,127.748637
-87.082245,1600,127.931642
-90.89217,1600,128.010659
-114.05459,58,128.199393
-119.72759,1600,128.236687
-111.867485,70,128.308028
-104.89436,1600,128.472067
-92.545296,1600,128.534831
-110.10587,79,128.622892
-114.447754,1600,128.802686
-89.1149,1600,128.891742
-112.795296,71,129.156938
-115.297005,75,129.25276
-110.369194,1600,129.292366
-103.86758,69,129.292391
-108.8131,108,129.320403
-97.813446,1600,129.400157
-110.22748,55,129.644142
-114.414635,78,129.644167
-117.550026,162,129.724843
-114.1855,64,129.855142
-115.47294,67,129.883244
-101.95887,1600,130.005315
-87.464676,1600,130.017121
-114.19854,72,130.037363
-91.239975,1600,130.407287
-103.32868,1600,130.513048
-119.95877,78,130.567049
-82.147,1600,130.630705
-101.72416,1600,130.736009
-97.8511,1600,130.958663
-106.78135,127,130.970206
-113.003685,56,131.007466
-93.7814,1600,131.13787
-113.22456,54,131.210046
-96.88557,1600,131.233867
-96.08744,1600,131.254339
-88.74894,1600,131.401203
-92.40585,1600,131.615266
-106.960976,45,131.644288
-114.55742,62,131.690117
-105.19074,79,131.921414
-119.589035,124,132.050728
-91.54762,1600,132.205993
-104.251205,1600,132.405552
-112.38919,91,132.40558
-116.55467,88,132.451171
-116.16295,67,132.504517
-108.77542,104,132.550026
-106.82528,60,132.728869
-108.566734,44,133.110885
-94.941284,1600,133.345778
-107.68846,49,133.774354
-100.70285,1600,133.829781
-97.55291,1600,133.945107
-116.40281,89,134.596887
-110.24623,84,134.667966
-113.78622,106,134.69635
-108.64466,56,135.081599
-112.17755,90,135.442088
-107.78451,55,135.55578
-84.32042,1600,135.840505
-100.9457,1600,135.903518
-114.80284,56,135.932292
-103.769165,78,136.232862
-110.60355,51,136.346771
-111.794754,78,136.521784
-113.95059,61,136.76106
-109.25801,58,136.849683
-102.39647,1600,137.032101
-107.3853,77,137.188184
-114.92614,59,137.360618
-113.52693,71,137.380715
-105.853226,1600,184.534504
-85.622856,1600,184.79534
-90.714264,1600,184.990168
-113.767075,79,185.227372
-109.896454,53,185.26519
-102.329094,1600,185.595312
-109.861176,59,185.777457
-118.93173,83,185.952106
-86.19601,1600,185.981452
-106.44179,1600,186.045778
-81.40823,1600,186.369873
-83.73745,1600,186.369899
-104.29049,1600,186.451766
-86.08812,1600,186.728855
-101.516075,1600,186.740616
-95.4764,1600,186.760866
-109.88412,63,186.92651
-87.51829,1600,187.135549
-111.17335,54,187.232515
-82.083916,1600,187.295922
-87.57524,1600,187.359487
-107.97074,98,187.60225
-83.78376,1600,187.700386
-99.09969,1600,187.738264
-95.30369,1600,187.940601
-98.69974,1600,188.125652
-104.29893,94,188.125678
-106.32306,76,188.273674
-102.17069,62,188.285114
-106.4465,89,188.48593
-109.88511,78,188.627088
-85.72395,1600,188.785496
-115.46354,72,188.909795
-104.911354,92,188.93852
-112.8207,56,188.98435
-88.226616,1600,189.154168
-92.37871,1600,189.154196
-90.463875,1600,189.200313
-111.340096,66,189.220855
-91.845,1600,189.258223
-88.679184,1600,189.379267
-104.97509,66,189.576979
-110.42057,46,189.681788
-111.063354,84,189.762344
-114.538025,63,189.791277
-105.127,70,189.85778
-86.42719,1600,189.955577
-115.98156,67,189.975782
-113.13656,61,190.123667
-108.30187,54,190.271785
-109.47305,42,190.325973
-117.87203,84,190.428969
-110.38293,65,190.689189
-108.215576,50,190.709558
-106.55591,54,190.902266
-102.11748,91,191.121284
-106.32099,45,191.297415
-114.12836,79,191.403148
-77.30998,1600,191.554163
-110.90943,76,191.789875
-110.19288,57,192.049866
-87.70004,1600,192.801161
-115.437874,108,193.741684
-75.67178,1600,193.911756
-87.9689,1600,194.070175
-83.99172,1600,194.245206
-80.31646,1600,194.265356
-107.74131,82,194.465965
-110.91201,63,194.465993
-111.624245,78,194.751433
-112.819336,58,194.772019
-108.234215,67,194.835696
-111.51766,51,194.916111
-112.82412,62,195.446756
-122.95041,125,195.85621
-105.40744,119,195.867727
-78.89561,1600,199.102268
-112.62859,61,199.634745
-92.69276,1600,199.707069
-81.40269,1600,242.778851
-85.71682,1600,242.954574
-73.33406,1600,242.983418
-83.164444,1600,243.04569
-108.44708,57,243.099244
-71.99575,1600,243.363779
-86.39964,1600,243.444836
-112.59036,53,243.508164
-110.54178,49,243.528061
-114.35358,81,243.690721
-79.57516,1600,243.727729
-92.54124,1600,243.914603
-113.24884,57,244.018406
-108.538025,80,244.064563
-114.7184,72,244.076069
-77.25632,1600,244.130219
-80.000755,1600,244.227418
-103.94031,92,244.315867
-93.55914,1600,244.353237
-108.609116,50,244.364956
-107.50463,37,244.554524
-74.35321,1600,245.106331
-78.30616,1600,245.263444
-116.82811,73,245.738109
-90.40821,1600,245.758218
-111.136406,64,245.821417
-91.08122,1600,245.951844
-64.92915,1600,246.177863
-94.96312,1600,246.216224
-83.29905,1600,246.638692
-108.57882,56,246.667628
