#{"t_start": 1686433144.445803, "env_id": null}
r,l,t
-106.745026,42,1.394934
-106.352715,50,1.471309
-112.57005,53,1.501124
-113.31885,56,1.531162
-113.52095,57,1.543074
-104.06161,58,1.555153
-111.25555,60,1.579345
-114.04659,60,1.579405
-114.06974,61,1.591693
-105.277176,65,1.634163
-104.13621,65,1.634224
-109.10935,71,1.690185
-102.59146,72,1.702299
-118.788475,77,1.748705
-107.13114,80,1.777371
-118.14528,82,1.797861
-100.43752,88,1.857106
-102.7409,88,1.857167
-111.79131,91,1.887862
-98.92731,95,1.926623
-124.526085,97,1.947602
-105.42513,101,1.985539
-111.91507,57,2.106095
-118.31557,61,2.106154
-115.75939,65,2.21774
-105.58418,65,2.217807
-108.20306,65,2.230608
-107.39538,78,2.253264
-101.05959,129,2.266652
-119.724106,89,2.290016
-106.193115,77,2.33243
-120.97725,81,2.355772
-101.38269,77,2.407665
-106.39518,76,2.51469
-97.40059,70,2.624136
-105.64992,82,2.672629
-102.229416,99,2.684943
-107.437515,92,2.717356
-109.22698,51,2.750106
-115.65416,64,2.763186
-123.16699,100,2.785088
-108.000725,59,2.828566
-108.3798,62,2.919214
-101.70423,68,2.959654
-123.57361,199,2.98242
-100.787346,82,3.215197
-101.913864,53,3.245411
-106.99274,35,3.293532
-126.49288,111,3.361433
-100.63887,82,3.489871
-103.54597,132,3.529982
-120.90666,124,3.55441
-103.531006,85,3.585801
-103.00592,72,3.616822
-123.582535,96,3.70588
-102.38187,62,3.896382
-113.91038,133,3.982015
-119.48002,84,4.182417
-108.56614,96,4.182479
-100.51133,102,4.213677
-101.70051,63,4.327813
-100.97788,95,4.553491
-106.39353,52,4.706399
-103.5677,72,4.706459
-126.73064,124,5.111202
-101.63007,91,5.563842
-121.776085,142,5.909741
-102.89448,78,6.312964
-135.68686,219,6.436289
-138.72144,265,6.765251
-116.14486,66,7.377105
-118.35352,113,7.501436
-109.28644,65,7.98484
-110.525955,60,8.545807
-175.3067,753,8.958527
-128.99716,109,9.589761
-95.89708,105,9.950079
-102.30342,67,10.231909
-103.223305,56,10.488217
-105.19081,61,10.870142
-104.58909,92,11.431734
-189.48576,999,11.658572
-114.83362,58,11.993683
-121.57094,127,12.104649
-118.264336,70,12.668579
-105.861664,60,12.682245
-106.95917,79,13.426007
-113.321205,66,14.060842
-107.287094,30,14.358482
-103.870926,1600,16.460145
-129.14273,1600,16.460217
-110.32097,1600,16.460232
-108.22771,1600,16.460241
-99.03789,1600,16.460248
-119.03938,1600,16.460256
-109.37618,1600,16.460263
-117.60837,1600,16.460269
-110.798325,49,16.920523
-107.3469,51,16.942244
-114.71203,61,17.033272
-115.048584,62,17.045618
-107.02644,1600,17.076437
-99.79688,1600,17.300967
-110.12939,1600,17.334389
-113.96895,1600,17.399633
-103.1356,45,17.503914
-108.398766,44,17.527292
-120.05351,1600,17.580022
-122.7762,126,17.693714
-102.99062,131,17.742914
-100.89278,83,17.75586
-112.43633,1600,17.806248
-108.12554,49,17.83842
-131.23157,1600,17.969832
-110.625595,66,17.983221
-104.71199,54,18.054348
-109.21968,1600,18.095171
-114.26158,60,18.141268
-114.71628,1600,18.251657
-101.04439,66,18.251733
-100.480385,1600,18.2934
-113.70515,54,18.306194
-101.45507,64,18.414078
-113.46572,61,18.43708
-107.004944,1600,18.450471
-113.6104,43,18.572938
-118.390945,61,18.595694
-110.35396,40,18.655914
-103.343895,118,18.881043
-106.73671,65,18.897452
-102.04889,80,18.897512
-100.64439,64,18.929523
-109.185974,1600,18.979183
-109.25168,1600,19.018909
-110.276245,1600,19.040587
-113.83567,62,19.062506
-99.978226,1600,19.075558
-122.41882,81,19.1158
-106.7346,66,19.257782
-100.101036,62,19.28074
-108.17459,100,19.41458
-117.8762,101,19.445724
-113.03211,68,19.576014
-110.47178,56,19.626759
-118.52818,1600,19.679766
-116.84262,83,19.724891
-102.46415,83,19.767628
-99.93691,71,19.781053
-120.496475,64,20.075828
-122.1675,109,20.128958
-125.77913,112,20.142444
-118.37188,1600,20.204919
-108.63424,53,20.218971
-112.7543,52,20.292952
-100.601326,71,20.354831
-102.772064,64,20.377644
-102.3523,122,20.493319
-108.43846,43,20.580118
-112.62564,130,20.593519
-108.78801,1600,20.652081
-121.58496,67,20.764368
-114.18831,60,64.218469
-99.75044,64,64.240885
-99.96704,63,64.362655
-120.24834,92,64.394197
-120.43233,86,64.406866
-123.06884,73,64.611022
-112.96496,1600,64.720986
-113.33263,60,64.830422
-126.05622,1600,65.126323
-118.99272,76,65.126398
-108.09442,45,65.161948
-102.93738,76,65.88714
-100.49918,87,65.965208
-101.243034,123,66.321068
-119.336105,1600,66.344594
-111.86832,51,66.397175
-101.605156,58,66.55035
-98.7946,72,67.043621
-107.564125,71,67.223578
-107.634094,40,67.59638
-116.73723,85,67.854095
-105.40815,73,68.565869
-105.40482,99,69.500805
-115.102005,1600,70.48663
-110.28957,1600,71.48899
-104.73673,69,72.150198
-107.34843,1600,73.161951
-110.20204,55,73.709826
-112.560905,1600,75.287046
-116.76851,1600,75.287116
-110.22142,1600,75.797683
-110.41677,1600,75.895428
-103.96583,87,76.142444
-110.04746,1600,76.242671
-104.834045,110,76.374028
-102.74183,76,76.539692
-115.2905,1600,76.670423
-113.251396,58,76.72439
-102.91693,1600,76.813907
-114.13068,60,76.845316
-115.45239,1600,76.885426
-104.83856,55,77.208831
-108.288666,44,77.27776
-111.243324,56,77.277826
-101.29275,74,77.27784
-118.17389,1600,77.386982
-114.61499,1600,77.703157
-99.62684,1600,77.789623
-108.885025,54,77.813095
-116.789116,1600,77.917119
-119.40075,68,77.947535
-115.52657,1600,78.192477
-104.63579,94,78.289281
-120.74251,1600,78.35982
-105.15594,1600,78.553145
-102.0047,82,78.603816
-100.77755,79,78.704261
-107.24734,101,78.884369
-111.17277,1600,78.907317
-106.38739,1600,78.969092
-100.06148,89,79.168262
-117.23053,85,79.20177
-119.33846,1600,79.328825
-112.02011,1600,79.341987
-120.68224,68,79.382293
-111.80648,1600,79.519787
-104.0641,55,79.712078
-110.76453,1600,79.725716
-97.57738,1600,79.86286
-99.27526,1600,79.905366
-112.186905,55,79.928301
-104.61158,140,79.987825
-109.2965,1600,80.128011
-119.60912,94,80.261198
-107.388405,1600,80.341055
-110.01274,55,80.447914
-105.282616,75,80.657108
-120.17542,98,80.67986
-102.79184,53,80.784472
-112.34328,89,80.867938
-100.88356,68,81.113774
-106.56782,57,81.223382
-116.64858,64,81.486434
-115.225655,62,81.725778
-105.38413,107,81.839219
-114.43534,1600,81.862642
-112.88271,1600,81.941718
-112.27251,57,82.071127
-105.290054,69,82.412809
-117.54529,78,82.625135
-121.98964,1600,83.146256
-108.910805,78,83.178202
-110.50386,53,83.70006
-104.29942,55,83.713539
-109.34239,100,127.859552
-115.53128,1600,128.277632
-98.4145,1600,129.268322
-108.01437,52,129.787634
-103.48282,59,130.360165
-109.992294,1600,131.001704
-101.51644,86,131.213669
-101.792694,62,131.595827
-107.7273,62,131.818289
-101.52634,57,132.365125
-108.84193,1600,132.554909
-116.519104,1600,134.743237
-102.35626,1600,135.235201
-89.333755,1600,135.659884
-115.7918,1600,135.728136
-107.32752,102,135.750561
-104.99972,1600,136.05435
-106.90693,1600,136.137427
-102.26335,73,136.473324
-102.790085,1600,136.589667
-107.44069,1600,136.668294
-96.966675,1600,137.091533
-103.00272,1600,137.450256
-99.377045,58,137.670582
-105.12376,1600,137.794038
-110.92138,1600,137.81811
-100.42505,1600,137.878206
-118.33433,1600,138.101777
-120.54943,1600,138.243299
-104.273575,1600,138.420764
-107.00804,66,138.528521
-105.03474,1600,138.628685
-100.91778,1600,138.763904
-100.09584,1600,139.02113
-108.027725,67,139.07996
-106.91793,59,139.111512
-91.35364,1600,139.237261
-101.316536,78,139.406497
-98.33567,1600,139.593413
-115.79671,71,139.729357
-101.223236,55,139.789693
-108.00883,82,139.931211
-105.00072,1600,140.137797
-102.08731,57,140.483737
-103.290504,1600,140.741505
-91.63327,1600,140.832868
-98.03204,1600,140.962127
-120.10277,91,141.042768
-110.85509,42,141.272284
-112.66364,49,141.467928
-102.26219,78,141.537984
-97.20231,1600,141.563031
-103.57089,72,141.984774
-104.89218,72,142.2406
-98.63192,1600,142.61855
-100.41704,120,142.641962
-102.40144,70,143.322095
-97.5961,1600,143.628215
-110.77649,67,143.977179
-96.0126,1600,144.047731
-116.28949,79,144.391547
-111.96724,47,144.497483
-108.39635,68,145.068829
-122.90074,144,145.394323
-101.58268,57,145.632747
-109.64287,160,147.193951
-92.90488,1600,147.368631
-93.21618,1600,191.423897
-103.97969,101,191.46613
-92.194145,1600,191.613285
-119.84064,87,192.279058
-99.04134,1600,194.289379
-103.176895,1600,194.718781
-95.60068,1600,194.809283
-98.31815,1600,195.115966
-94.959984,1600,195.179044
-102.05184,67,195.373195
-97.323746,1600,195.510789
-91.558105,1600,195.622421
-93.84312,1600,195.704046
-106.172676,78,196.269543
-88.538605,1600,196.457951
-103.16811,1600,196.681217
-94.06944,1600,196.807417
-115.596695,57,196.833153
-103.102005,1600,196.83321
-105.899925,1600,197.118236
-108.5156,48,197.163427
-101.077805,1600,197.26266
-103.34767,53,197.361247
-110.81745,65,197.462533
-110.05862,72,197.551062
-100.45558,65,197.769639
-100.82412,1600,197.79267
-101.3367,54,197.996257
-103.499115,73,198.086844
-110.05283,1600,198.109799
-103.94629,1600,198.415585
-106.500595,71,198.490831
-99.73257,1600,198.610926
-97.663956,1600,198.749532
-99.94207,1600,198.815608
-100.93383,1600,199.539593
-101.10435,1600,200.055889
-124.22529,90,200.399718
-97.76084,1600,200.577756
-95.66638,1600,200.988477
-105.73036,62,201.019654
-101.97949,1600,201.242797
-101.92907,65,201.627474
-105.2691,1600,201.662017
-89.99378,1600,203.503246
-84.68901,1600,204.404818
-90.378265,1600,206.379659
-104.83317,50,206.861835
-88.347336,1600,207.191493
-87.76137,1600,207.347903
-86.90465,1600,208.003822
-101.15273,68,208.66863
-106.13516,69,209.371296
-95.35783,1600,210.055211
-85.23597,1600,210.589988
-113.128586,63,210.694581
-101.48291,1600,254.200701
-96.72042,1600,254.263215
-87.38343,1600,254.467758
-101.8594,73,254.61834
-90.78275,1600,254.710097
-87.90144,1600,254.825823
-108.90011,67,254.920511
-99.80593,68,255.030689
-94.51926,1600,255.647641
-90.483955,1600,256.345107
-89.704384,1600,256.449795
-87.460625,1600,256.737176
-98.24128,1600,256.950211
-93.20324,1600,257.178657
-96.209366,1600,257.272786
-88.45504,1600,257.296372
-116.75531,60,257.3393
-104.65234,47,257.42912
-81.647644,1600,257.625561
-91.986435,1600,257.700033
-90.36686,1600,257.82324
-88.82398,1600,257.963387
-92.37856,1600,258.027735
-114.2608,59,258.227824
-111.28091,46,258.682388
-114.58778,101,258.718393
-106.52704,79,258.823014
-95.61619,1600,259.288265
-92.13182,1600,259.792773
-91.01771,1600,260.249408
-90.094795,1600,260.484774
-121.884766,72,260.507566
-83.150246,1600,260.863132
-90.46367,1600,260.896183
-111.656555,69,261.183748
-100.35122,69,261.87659
-93.64626,1600,262.799199
-101.52541,65,263.429811
-86.98696,1600,263.683457
-120.14484,84,264.273625
-101.710335,88,265.146479
-109.50844,75,265.883431
-98.48619,1600,266.194493
-103.26061,62,266.512646
-83.42709,1600,266.526811
-71.57742,1600,266.684825
-102.60163,55,266.758358
-82.62233,1600,268.737921
-104.08656,66,269.395889
-80.34068,1600,270.070697
-117.57192,68,270.085022
-112.40323,45,270.528216
-89.560295,1600,270.551233
-78.351524,1600,270.700743
-77.76528,1600,270.792673
-74.25447,1600,270.873952
-77.86304,1600,270.970247
-75.62398,1600,271.0433
-105.13557,51,271.323274
-75.97387,1600,271.687373
-105.37959,105,272.100487
-79.41881,1600,272.406986
-84.10795,1600,272.508937
-85.87199,1600,273.257924
-81.70965,1600,273.352051
-84.50552,1600,273.376528
-75.501595,1600,273.419208
-84.24931,1600,273.508242
-76.07659,1600,273.87479
-85.02385,1600,274.015271
-130.5337,116,274.56777
-84.468376,1600,274.743749
-87.17194,1600,274.778641
-78.17506,1600,318.498569
-88.138565,1600,318.949098
-106.090294,70,319.169008
-100.21711,85,319.737005
-78.3543,1600,319.853714
-79.27275,1600,320.090845
-80.45554,1600,320.475544
-86.828896,1600,320.509448
-108.35371,61,320.6954
-107.49122,63,321.314719
-75.18623,1600,321.476253
-72.39642,1600,323.181191
-77.878845,1600,325.992683
-64.59006,1600,326.006936
-76.08399,1600,326.157943
-61.5595,1600,326.228883
-72.87451,1600,329.504163
-74.58753,1600,329.95203
-82.09248,1600,329.975553
-63.2382,1600,330.125635
-73.76055,1600,330.295498
-73.12731,1600,330.385767
-83.48169,1600,330.729033
-103.68212,77,330.752708
-78.831245,1600,331.091086
-72.81313,1600,331.50908
-73.92931,1600,331.780446
-69.717964,1600,331.878392
-103.65521,84,332.615568
-59.81521,1600,332.615638
-65.329155,1600,332.705287
-68.99141,1600,332.73014
-64.15276,1600,332.869263
-73.24494,1600,333.241508
-64.72701,1600,333.378242
-73.11431,1600,333.9284
-59.174557,1600,334.099108
-61.36138,1600,334.133946
-77.98816,1600,334.928649
-100.21898,90,335.029512
-64.23046,1600,335.539696
-68.108315,1600,335.665878
-73.20075,1600,336.298241
-63.142296,1600,336.335855
-102.2183,90,336.587482
-103.20438,47,336.788217
-75.01085,1600,337.168138
-66.75839,1600,337.323538
-105.92905,72,337.880872
-65.9748,1600,382.672116
-59.120136,1600,385.456208
-73.08344,1600,385.470373
-69.97645,1600,385.618565
-67.32905,1600,385.693505
-70.47751,1600,388.913864
-68.35304,1600,389.382375
-50.61248,1600,389.555632
-52.953236,1600,389.727411
-66.44742,1600,389.819417
-74.63504,1600,390.144747
-57.038147,1600,390.168679
-62.30293,1600,390.490252
-101.18094,72,390.863104
-45.27442,1600,390.905655
-68.96835,1600,391.266458
-53.951694,1600,391.995649
-57.5767,1600,391.995726
-63.057106,1600,392.085346
-46.07365,1600,392.1085
-47.49391,1600,392.235944
-51.799892,1600,392.60583
-48.020943,1600,392.751482
-56.74226,1600,393.27913
-119.6015,79,393.37676
-46.254658,1600,393.443262
-53.642838,1600,394.24858
-47.855312,1600,394.349319
-50.9236,1600,394.856182
-67.12682,1600,395.613428
-68.8945,1600,395.853089
-41.409233,1600,396.050451
-70.815216,1600,396.588169
-107.016594,118,396.771171
-77.47293,1600,397.122534
-102.20667,96,397.709635
-108.48161,60,398.302648
-55.318596,1600,398.357827
-103.57802,69,399.046357
-48.661255,1600,401.141309
-44.59026,1600,401.15629
-42.401474,1600,401.312577
-47.3616,1600,401.391488
-42.618584,1600,448.003499
-42.83189,1600,448.447626
-51.53308,1600,448.611064
-47.502903,1600,448.783817
-40.637363,1600,448.874162
-53.27791,1600,449.213379
-50.937485,1600,449.559144
-44.822453,1600,449.928262
-37.398624,1600,449.972203
-58.63443,1600,450.349355
-45.245655,1600,451.057015
-51.242565,1600,451.057082
-49.98901,1600,451.14622
-43.15676,1600,451.169161
-41.523598,1600,451.296819
-40.58139,1600,451.781089
-50.54698,1600,452.335196
-34.444016,1600,452.431455
-71.72997,1600,452.501689
-52.47866,1600,453.303876
-37.567974,1600,453.401981
-34.869995,1600,453.9067
-25.143604,1600,454.888671
-26.8633,1600,455.068159
-33.350327,1600,455.600047
-33.667038,1600,456.143077
-41.25227,1600,457.295262
-36.018578,1600,458.004831
