#{"t_start": 1686465750.2975323, "env_id": null}
r,l,t
-116.037,52,0.497308
-114.08448,55,0.523587
-105.88316,57,0.542462
-104.27645,64,0.599799
-106.5487,68,0.633353
-102.29043,70,0.651508
-112.535416,71,0.664897
-103.48407,71,0.664921
-102.07858,72,0.675524
-103.39262,76,0.710087
-111.28216,79,0.739325
-114.36369,79,0.739347
-102.27041,82,0.765438
-122.54256,83,0.776295
-101.75537,87,0.809865
-109.65167,88,0.823417
-101.26225,88,0.82344
-118.00999,94,0.872424
-120.62622,96,0.890562
-98.943085,97,0.903888
-125.97211,97,0.903911
-108.407616,99,0.922304
-104.53482,103,0.956547
-108.45929,43,1.053557
-100.11255,64,1.067265
-114.15123,69,1.204243
-102.37319,72,1.261894
-120.82358,62,1.275378
-102.23025,62,1.2754
-96.891914,87,1.304727
-113.65958,47,1.30475
-112.69248,51,1.315532
-102.79321,76,1.33434
-103.8188,69,1.368788
-105.67077,78,1.491527
-105.91711,66,1.621319
-107.38339,186,1.656787
-100.45349,90,1.683742
-104.14577,52,1.718438
-108.62848,64,1.752885
-111.73527,58,1.76379
-105.15194,63,1.838321
-128.86333,168,1.969726
-124.07399,137,2.05317
-123.42197,79,2.152655
-101.9261,64,2.163596
-103.60413,109,2.198486
-126.490585,113,2.257244
-101.35886,65,2.268028
-114.86094,54,2.295029
-99.77393,70,2.353677
-126.6734,163,2.435865
-122.56888,94,2.454801
-115.26531,51,2.594186
-112.62264,101,2.604962
-115.44259,59,2.761102
-104.95852,95,2.772257
-106.546295,99,2.889549
-106.80074,65,2.902777
-107.13642,58,2.929938
-111.42346,55,3.06388
-105.28419,61,3.410438
-122.18897,143,3.95948
-110.9654,72,4.003344
-135.182,177,4.234074
-104.332634,71,4.54611
-108.862,86,4.71305
-103.61613,97,5.349481
-129.88403,165,6.709077
-179.03485,769,7.090215
-104.19456,67,7.267154
-111.20276,63,7.616973
-113.4025,57,7.743157
-102.13347,63,8.139334
-102.75581,69,8.314615
-102.096436,68,8.909564
-106.85717,120,9.901104
-197.61597,1125,10.215229
-104.482925,83,10.584972
-103.060394,70,10.792321
-117.58829,133,11.680369
-104.54137,62,12.195503
-117.865746,1600,13.42956
-105.305405,1600,13.429597
-116.8265,1600,13.429618
-105.966965,1600,13.429626
-119.86732,1600,13.429633
-123.89957,1600,13.429639
-107.95887,1600,13.429646
-109.57165,1600,13.429654
-207.1698,1283,13.556728
-113.34986,47,13.816459
-108.80416,56,13.892418
-100.991035,58,13.912127
-124.61128,1600,14.012668
-105.05704,57,14.032168
-116.489815,1600,14.067892
-106.01695,80,14.103563
-108.051735,1600,14.131227
-110.44803,1600,14.167067
-102.44009,93,14.217882
-123.75224,1600,14.253269
-109.13663,1600,14.305528
-124.48917,122,14.462391
-103.207664,53,14.476241
-103.608536,67,14.476265
-113.997574,64,14.616116
-101.98204,1600,14.66156
-103.54766,65,14.661583
-104.98028,63,14.676624
-107.138916,1600,14.687879
-118.95956,1600,14.723254
-114.79513,59,14.766135
-106.40311,114,14.897031
-106.50438,1600,15.036193
-103.275856,63,15.152159
-102.8274,62,15.236176
-108.96262,46,15.282675
-120.969925,131,15.282699
-115.8154,75,15.309714
-98.63958,77,15.336521
-113.0991,74,15.387647
-118.775406,110,15.410172
-102.86258,94,15.469281
-126.451416,1600,15.520559
-105.60917,1600,15.563573
-107.78091,1600,15.62301
-114.095566,56,15.642147
-108.295616,1600,15.661345
-106.45982,53,15.743648
-107.0795,1600,15.818466
-103.78359,74,15.877323
-105.63629,64,15.888145
