#{"t_start": 1686447331.6858475, "env_id": null}
r,l,t
-107.19329,36,0.44505
-107.63703,42,0.501471
-104.56008,57,0.638468
-114.341286,58,0.651011
-119.52233,61,0.681565
-119.48161,66,0.728895
-105.20394,67,0.741037
-105.43678,70,0.770831
-117.0327,75,0.817977
-118.73499,78,0.847572
-100.77908,80,0.868544
-101.29858,82,0.889903
-122.88887,86,0.928305
-103.02194,97,1.032689
-107.28948,97,1.032749
-118.7657,100,1.063966
-102.62417,107,1.130631
-108.79063,38,1.143077
-99.09092,67,1.29759
-105.09468,66,1.319535
-122.12622,128,1.332467
-120.9076,129,1.34495
-110.578445,56,1.36709
-109.886696,77,1.487021
-105.323494,66,1.514462
-112.79901,78,1.643327
-124.24955,83,1.655898
-120.860016,167,1.714394
-113.24311,68,1.800159
-106.0627,61,1.912079
-124.54405,194,1.970334
-100.49138,94,2.036314
-99.85214,82,2.093707
-103.34832,62,2.106232
-123.062584,80,2.119072
-110.416565,69,2.305459
-123.745,78,2.456265
-101.92815,60,2.488654
-103.60127,49,2.564522
-112.54049,49,2.576867
-103.82039,77,2.777746
-118.06741,94,2.872024
-104.38113,83,3.095428
-98.7262,65,3.181215
-122.79589,91,3.320656
-115.135056,82,3.351707
-111.64836,73,3.466228
-107.69344,35,3.516185
-113.555855,56,3.85151
-117.62952,58,4.011168
-102.55597,61,4.086588
-114.186325,50,4.320429
-218.3337,1322,12.894244
-120.61138,84,13.687203
-107.90091,1600,15.199373
-109.273254,1600,15.199429
-104.80215,1600,15.199442
-114.08068,1600,15.199451
-117.80788,1600,15.199458
-104.47839,1600,15.199465
-114.53152,1600,15.199472
-117.25262,1600,15.199479
-107.20918,1600,15.199485
-107.880936,1600,15.199491
-122.752495,1600,15.199498
-114.27346,1600,15.59236
-109.85257,53,15.699066
-104.997154,1600,15.740453
-102.65626,64,15.812063
-111.86256,64,15.812119
-118.61211,1600,15.837762
-105.49267,66,15.837817
-107.09985,72,15.895778
-117.1031,76,15.935551
-100.10095,79,15.966749
-103.61673,82,15.997897
-123.65612,1600,16.038301
-115.09033,1600,16.145889
-110.240585,1600,16.145947
-119.57079,1600,16.17793
-109.07037,47,16.301558
-108.70867,1600,16.443634
-118.978836,1600,16.474935
-102.7662,53,16.5517
-105.326744,75,16.573632
-109.66304,61,16.59535
-118.96783,1600,16.608502
-98.3846,73,16.656875
