#{"t_start": 1686470234.4327517, "env_id": null}
r,l,t
-109.81726,46,0.450729
-114.55738,50,0.484645
-105.47389,56,0.537769
-101.90898,58,0.556471
-110.218956,59,0.569987
-103.90552,59,0.57001
-103.75805,60,0.580665
-107.5492,62,0.599438
-107.94943,67,0.644237
-99.7983,67,0.64426
-115.550804,69,0.662625
-118.6449,70,0.673411
-117.36119,75,0.714738
-116.38932,77,0.733344
-99.83432,85,0.797849
-104.95902,93,0.864372
-100.95695,93,0.864412
-103.09487,96,0.890945
-122.15805,98,0.909626
-131.89365,106,0.977146
-105.75393,106,0.97717
-104.90199,46,0.995818
-115.03665,110,1.017521
-100.63919,110,1.017545
-102.81983,58,1.077045
-109.89518,74,1.134675
-109.82139,58,1.14812
-108.01787,69,1.148143
-113.19144,72,1.19044
-115.40077,68,1.232181
-105.34834,62,1.250734
-101.74029,71,1.284491
-112.79079,49,1.399714
-111.181435,96,1.399737
-101.02945,81,1.429466
-108.72028,38,1.464423
-100.38377,53,1.475159
-115.28248,72,1.533248
-102.12127,68,1.583982
-118.264626,71,1.594949
-125.46159,94,1.613621
-104.91859,55,1.62458
-99.73194,57,1.771587
-101.766495,105,1.771616
-106.07901,74,1.822564
-119.60209,76,1.881365
-101.91139,98,1.980008
-116.64076,71,2.007275
-100.01937,66,2.090656
-117.67932,80,2.109719
-112.817566,62,2.145332
-115.91362,69,2.172174
-118.771576,78,2.423622
-109.53955,51,2.434624
-103.26669,74,2.445851
-102.270035,102,2.47332
-120.58197,72,2.492435
-100.41129,84,2.795359
-123.87457,100,2.822337
-108.2475,93,2.890974
-107.39349,43,3.151887
-101.244446,85,3.19606
-108.128044,104,3.305338
-109.82419,63,3.349325
-115.02867,63,3.864469
-106.92044,140,4.047317
-126.591034,94,4.082764
-128.94667,115,4.110014
-143.21176,422,4.145094
-99.160225,77,4.505127
-98.21898,68,4.647067
-102.56568,73,4.716511
-108.90346,89,4.792662
-114.338806,67,5.341946
-101.30878,101,5.549232
-138.01663,177,5.9707
-105.039635,74,6.160336
-104.4191,72,6.56178
-112.22193,57,6.630247
-107.461784,53,7.001838
-104.179756,58,7.479917
-122.014,136,7.752981
-193.7651,930,7.846102
-106.3251,48,7.882223
-116.84391,76,8.513829
-201.48663,1007,8.525141
-113.79291,76,8.55287
-114.630775,72,9.146462
-108.69933,133,9.626142
-108.266426,82,10.302835
-198.22598,1005,10.807565
-112.265854,49,11.213858
-115.77956,117,11.273921
-113.66334,46,11.653475
-113.53,88,11.942639
-118.92215,61,12.447981
-107.481674,79,13.097135
-124.129654,1600,13.446598
-107.69543,1600,13.446623
-113.41567,1600,13.446635
-123.974464,1600,13.446643
-103.14369,1600,13.446651
-118.962425,1600,13.446657
-118.110886,1600,13.446664
-118.92344,1600,13.822998
-99.40002,61,13.948686
-114.32031,63,13.967612
-116.87225,66,13.994729
-109.44784,1600,14.022695
-222.47015,1410,14.205227
-107.37202,1600,14.22454
-125.23486,1600,14.25201
-112.859375,37,14.336173
-112.89921,1600,14.371395
-125.78535,1600,14.431613
-110.68151,79,14.499166
-112.76761,65,14.509881
-108.17714,44,14.604557
-101.28619,1600,14.60458
-102.91408,55,14.680446
-126.59075,1600,14.756365
-100.10614,92,14.783901
-113.28837,1600,14.818959
-106.00091,1600,14.830252
-106.393135,69,14.849314
-130.46321,1600,14.947645
-102.24313,72,14.962927
-118.36879,1600,15.126174
-104.16503,71,15.209296
-107.41403,72,15.220028
-104.89222,60,15.270949
-103.70131,68,15.394955
-126.26777,1600,15.494758
-116.755035,1600,15.521937
-110.31856,90,15.549194
-108.349236,95,15.632222
-103.07002,91,15.723189
-103.89462,1600,15.78341
-106.164764,100,15.794863
-102.94552,90,15.887882
-106.51803,35,15.932259
-125.19538,109,16.13686
-113.28996,45,16.172599
-114.489075,63,16.313087
-113.52587,71,16.324221
-104.97027,61,16.399544
-111.931564,66,16.483337
-121.46736,1600,16.560634
-117.04065,80,16.870483
-107.1803,74,16.973028
-118.98861,72,17.188978
-104.513695,97,59.150468
-104.78876,117,59.150529
-104.591484,52,59.234017
-103.84384,71,59.293542
-111.77435,132,59.361594
-102.724236,1600,59.372947
-104.2337,60,59.655057
-106.711075,51,59.666242
-99.40363,67,59.718901
-104.586716,1600,59.886994
-100.39714,72,59.972618
-103.24122,64,60.254588
-100.77087,81,60.33973
-100.5276,79,60.55174
-109.14637,1600,60.596151
-100.81522,75,60.887392
-104.96925,76,60.981741
-116.56637,116,61.942293
-101.27765,65,62.48544
-121.9466,1600,63.023858
-103.58517,1600,63.747214
-103.35768,89,63.766746
-103.76667,68,64.314528
-118.255775,1600,64.383658
-105.69521,114,65.325919
-119.92837,1600,66.893958
-117.29994,58,67.409777
-105.785164,1600,68.379788
-98.87299,1600,68.723009
-117.92737,1600,68.723033
-102.40172,1600,68.723045
-100.89854,1600,68.723054
-101.75977,67,68.944476
-110.184975,1600,69.244087
-102.59464,76,69.353678
-99.40701,79,69.381146
-102.317825,1600,69.636249
-124.17813,1600,69.695559
-118.06612,62,69.766049
-111.926796,1600,69.766073
-99.300285,1600,69.777527
-102.66424,1600,69.941918
-105.657555,1600,70.099678
-102.57397,94,70.167438
-113.04186,43,70.301101
-111.421906,1600,70.46042
-110.01172,1600,70.521266
-101.21678,91,70.532536
-111.20563,1600,70.650819
-101.45965,1600,70.752429
-104.97153,1600,70.780432
-92.73081,1600,70.807896
-106.580696,94,70.963413
-101.3946,82,70.99922
-210.8313,1250,71.010342
-102.49365,68,71.045673
-128.0482,177,71.269199
-104.65965,78,71.312661
-130.02667,1600,71.396899
-106.173645,55,71.434727
-110.593414,50,71.43475
-110.06505,57,71.525604
-99.66105,91,71.552889
-102.97866,69,71.588495
-122.12815,129,71.840527
-112.81996,55,71.891862
-101.3991,56,71.903014
-105.05257,52,71.962898
-103.24833,60,72.061935
-99.4243,88,72.061959
-104.55939,90,72.339598
-118.028564,54,72.350666
-107.97773,1600,72.427438
-119.82701,1600,72.699825
-104.36833,91,72.727936
-101.85067,1600,72.78008
-99.05293,1600,73.066185
-102.17638,89,73.08836
-104.004845,46,73.088391
-115.99774,128,73.131848
-114.94321,52,73.166988
-107.952774,1600,73.371986
-103.72144,80,73.752082
-103.84406,72,73.968708
-104.4014,1600,73.987838
-101.29925,109,73.999095
-117.428825,1600,74.279104
-105.89479,40,74.33126
-112.66496,54,74.440318
-113.376396,48,74.680969
-107.41203,90,75.07443
-116.176956,52,75.109835
-109.56962,143,75.162487
-106.89206,55,75.594063
-116.237305,60,75.688194
-100.39645,1600,75.905615
-108.873344,98,118.161933
-113.1306,1600,118.851233
-107.0169,1600,119.404706
-102.62298,77,119.498112
-113.04311,59,119.989677
-102.29575,98,120.223792
-99.139725,1600,120.426054
-106.63889,87,120.723778
-106.5749,67,120.793104
-108.172966,71,121.319343
-104.02092,88,122.056284
-102.27881,1600,122.501884
-102.99653,1600,123.821781
-111.87365,1600,123.82181
-103.740715,1600,124.04951
-95.53502,1600,124.459684
-105.96877,104,124.694518
-109.76658,1600,124.747982
-104.715454,1600,124.810052
-99.070206,1600,124.879718
-105.99382,1600,125.215784
-114.25802,56,125.3513
-119.689224,74,125.435685
-99.607666,1600,125.665839
-110.590576,1600,125.677533
-95.66335,1600,125.944081
-107.44042,161,126.134588
-100.37021,58,126.162062
-101.15035,95,126.181415
-107.178215,76,126.308645
-96.19807,1600,126.409626
-123.081665,1600,126.536205
-109.92501,58,126.655531
-102.94842,76,126.822237
-114.629074,57,126.891992
-113.324936,1600,126.986867
-98.87211,1600,127.047011
-108.63079,1600,127.199264
-98.05599,1600,127.493475
-100.664085,1600,127.570103
-105.66443,104,127.770851
-103.55006,116,127.807173
-99.84036,73,127.818512
-92.57503,1600,127.928529
-103.59468,69,128.155551
-106.45687,78,128.155575
-104.05574,1600,128.225687
-101.78536,56,128.289005
-101.60256,1600,128.289028
-115.56212,56,128.300282
-104.45462,1600,128.328254
-127.04966,117,128.919722
-91.45024,1600,128.91975
-105.70872,94,129.079758
-111.437775,1600,129.601056
-119.64918,91,129.677908
