#{"t_start": 1686452014.9911537, "env_id": null}
r,l,t
-105.236725,53,0.601507
-108.9862,61,0.669105
-105.27266,62,0.683325
-102.83961,62,0.683362
-104.64122,63,0.697548
-105.62828,63,0.697579
-104.510124,67,0.734054
-106.37674,75,0.801227
-116.659065,77,0.820129
-108.41926,79,0.839169
-99.38405,80,0.850222
-119.01471,81,0.861745
-100.395065,89,0.929124
-119.32012,93,0.963754
-102.14387,96,0.991154
-102.07641,100,1.026482
-109.485,51,1.06454
-123.352425,104,1.064568
-122.5028,108,1.100595
-113.529785,122,1.217297
-115.62708,57,1.237153
-114.16623,62,1.2487
-107.36421,45,1.26041
-103.150185,66,1.288426
-136.92387,133,1.32479
-105.298035,91,1.483179
-111.46182,61,1.502763
-103.20104,49,1.53042
-103.52883,82,1.566139
-99.30544,102,1.594012
-111.82193,67,1.621638
-113.597305,48,1.649658
-118.002815,77,1.742578
-105.021164,59,1.770699
-98.97867,83,1.803688
-107.14894,68,1.864917
-114.404495,82,1.966881
-122.85461,121,2.003041
-117.46095,67,2.155617
-105.60447,74,2.26532
-131.4506,242,2.276695
-115.185265,51,2.307466
-104.02426,64,2.307497
-104.58667,59,2.319027
-103.74769,98,2.355805
-116.446106,91,2.564465
-114.9483,133,2.692748
-105.21962,84,2.730038
-103.77269,94,2.971512
-109.584816,47,2.971559
-116.20705,80,3.000262
-117.272415,80,3.01178
-102.375,100,3.139538
-107.50584,115,3.302119
-113.572525,75,3.347141
-124.08222,124,3.426601
-116.16227,54,3.446706
-110.84892,38,3.475051
-103.610405,69,3.579245
-103.07725,78,3.690792
-121.767525,100,3.868609
-103.66508,62,4.005361
-114.89189,56,4.05918
-125.54042,99,4.299332
-107.042206,34,4.35659
-119.649086,77,4.35663
-104.66039,110,4.385353
-100.97066,72,4.498011
-101.218414,78,4.684403
-112.52069,74,4.993355
-100.92425,81,5.055442
-102.24639,104,5.201609
-103.65326,43,5.368568
-112.582535,55,5.675857
-113.67851,62,5.89751
-108.84709,35,5.977331
-103.20389,54,6.363499
-114.73423,54,6.441749
-121.16148,189,6.679319
-124.67711,101,7.218542
-130.21576,83,7.382835
-100.95039,123,7.487572
-107.679504,50,7.652984
-112.85992,55,7.857886
-103.83011,89,8.2507
-98.61324,73,8.92529
-184.04947,1015,8.987853
-113.84415,44,9.306247
-157.43684,620,13.189851
-106.488815,76,13.833797
-128.16718,1600,13.992778
-113.99643,1600,13.992824
-104.87442,1600,13.992836
-106.81799,1600,13.992845
-116.181496,1600,13.992852
-112.4178,1600,13.99286
-121.26252,1600,13.992867
-105.85566,1600,13.992874
-120.35749,1600,13.99288
-117.46923,1600,13.992886
-110.25005,43,14.355184
-108.07064,50,14.417804
-105.66031,60,14.504411
-122.24536,1600,14.524704
-101.48453,67,14.57008
-114.32122,1600,14.639402
-114.36988,1600,14.659801
-113.92185,1600,14.688062
-102.88995,81,14.699613
-120.96234,83,14.719478
-99.92373,104,14.772262
-120.97911,1600,14.834691
-109.28147,43,14.954197
-102.67424,63,14.982542
-111.923805,63,15.068843
-104.52524,126,15.097208
-109.88285,1600,15.125505
-128.62988,1600,15.16481
-105.032616,58,15.164844
-110.90652,53,15.242725
-98.985016,72,15.303926
-115.35924,1600,15.348783
-127.60696,1600,15.43736
-108.110466,1600,15.490759
-104.26043,87,15.601934
-104.59717,55,15.646383
-103.23727,76,15.664162
-98.99256,108,15.664195
-100.89521,63,15.664208
-116.161156,62,15.684159
-118.124916,79,15.778609
-114.04697,55,15.798193
-108.58912,51,15.809541
-117.842926,1600,15.820963
-101.72649,78,15.865782
-121.444214,84,15.999411
-105.46565,49,16.094697
-105.62357,68,16.106359
-110.17957,1600,16.143868
-111.22697,55,16.180816
-118.22519,66,16.258288
-99.4197,83,16.401913
-102.505,93,16.438351
-103.991425,58,16.508093
-118.46614,84,16.528139
-108.17759,1600,16.599401
-109.19883,47,16.669329
-107.44826,65,16.746996
-126.56055,115,16.833806
-115.46547,73,17.037568
-118.302025,72,17.066539
-112.046936,113,17.128437
-117.22548,1600,17.173842
-106.82119,1600,17.221839
-105.1093,54,17.221875
-102.561066,67,17.25896
-110.340004,56,17.572795
-104.56515,56,17.677629
-122.958115,68,17.739576
-106.67196,54,60.68534
-112.15267,1600,60.813175
-129.47112,1600,60.932854
-104.00533,1600,61.133739
-101.64206,66,61.707488
-103.025154,83,62.43345
-126.732086,1600,64.188503
-107.62842,1600,65.534378
-117.06166,1600,65.868722
-99.27576,83,66.279276
-106.06989,1600,70.775738
-117.58894,1600,70.775816
-101.45792,1600,70.775831
-109.72573,1600,71.159914
-103.57777,61,71.322217
-111.923874,1600,71.334882
-107.16386,1600,71.497692
-116.91189,1600,71.53026
-118.65044,102,71.701694
-107.27623,1600,71.775645
-107.96157,57,71.858052
-109.468414,38,72.046299
-107.82759,73,72.166947
-97.924484,1600,72.268938
-118.96283,60,72.405886
-107.28849,43,72.444896
-111.20424,1600,72.50183
-106.70362,1600,72.638026
-119.09259,1600,72.650932
-109.399574,53,72.664078
-105.10919,1600,72.712207
-112.03892,1600,72.94517
-109.13173,1600,72.958105
-119.04428,65,73.1023
-101.10366,75,73.142388
-102.54451,74,73.324203
-103.68262,75,73.345326
-115.61645,1600,73.385363
-112.165695,1600,73.407524
-94.94235,1600,73.481136
-101.685,64,73.694057
-105.26337,62,73.714952
-114.614944,1600,73.727558
-104.91895,85,73.749867
-120.1398,119,73.780293
-106.98295,55,73.853716
-99.447914,1600,73.963117
-121.57796,179,74.081101
-118.9839,1600,74.150282
-102.6359,1600,74.150396
-106.93598,1600,74.189871
-115.24793,90,74.254278
-104.28701,55,74.266681
-114.60972,65,74.453412
-102.29004,1600,74.509165
-101.80744,89,74.566203
-106.486824,1600,74.685199
-118.86609,120,74.836064
-101.05197,80,74.883496
-104.24535,81,74.896023
-119.85476,74,74.9437
-115.30259,63,75.087944
-100.67855,1600,75.117966
-105.66928,63,75.148234
-98.13488,1600,75.248819
-123.64967,126,75.348359
-109.57456,52,75.372553
-112.30801,1600,75.372617
-98.437965,72,75.508128
-117.33895,63,75.816858
-102.585396,62,75.926619
-123.00015,82,76.09017
-112.68253,40,76.183838
-103.71405,98,76.258758
-105.489235,77,76.623448
-108.845604,63,76.751823
-116.73401,89,76.89378
-108.90793,1600,76.916201
-111.43247,63,77.19474
-107.30618,37,77.234622
-107.7901,38,77.575654
-113.812996,51,77.660166
-127.74988,110,77.912054
-114.556854,53,78.05687
-111.10883,1600,78.707736
-107.75801,92,78.762697
-117.02794,122,78.784472
-108.403824,59,122.307523
-96.96667,79,122.43923
-104.26079,102,123.323502
-105.32986,1600,123.379077
