#{"t_start": 1686461284.2820807, "env_id": null}
r,l,t
-107.340996,52,0.562046
-115.221146,56,0.596624
-109.31567,58,0.615509
-104.55133,62,0.652563
-115.386536,62,0.652601
-114.97443,63,0.663446
-103.14401,65,0.685121
-115.46439,65,0.685151
-117.59099,73,0.752606
-104.02716,73,0.752635
-101.434135,74,0.763297
-101.636314,77,0.789643
-112.40714,81,0.824172
-103.788345,85,0.860809
-99.7047,85,0.860831
-118.380905,86,0.87144
-123.87311,92,0.923692
-103.872505,92,0.923715
-101.17075,94,0.941904
-101.797615,96,0.960516
-110.292625,106,1.040383
-116.84827,109,1.066559
-110.105934,66,1.172039
-109.842766,52,1.199393
-127.320145,128,1.22759
-123.431145,72,1.247307
-119.44839,79,1.340184
-104.157295,80,1.359594
-116.19978,68,1.378851
-102.506355,80,1.454284
-121.065414,96,1.489929
-118.53641,74,1.512592
-103.318184,68,1.512639
-106.18861,78,1.540398
-102.76144,86,1.582693
-101.75027,59,1.698287
-109.01588,55,1.733578
-120.52955,104,1.769918
-100.70232,75,1.862212
-106.934906,43,1.946586
-104.21357,86,1.98258
-102.402664,72,1.994025
-102.31199,53,2.005557
-106.139275,78,2.187626
-117.17651,95,2.210103
-101.13656,86,2.210144
-101.54829,89,2.286849
-119.74413,71,2.346321
-100.24732,76,2.424251
-100.744606,70,2.597545
-123.11423,194,2.633405
-100.09237,84,2.669507
-102.68431,57,2.769475
-107.65439,55,2.813463
-118.33929,78,2.873217
-133.35486,257,2.908772
-118.705605,86,2.945191
-116.40477,79,3.095547
-107.584335,110,3.131002
-137.95663,257,3.145409
-105.957794,63,3.145448
-107.118774,51,3.213042
-124.748856,158,3.339571
-114.08361,66,3.699079
-100.65852,89,3.699133
-105.610886,105,3.710722
-108.4371,76,3.787344
-108.99741,81,4.020962
-100.30788,111,4.04058
-114.67604,55,4.166097
-109.299545,77,4.360564
-106.698906,83,4.738153
-101.476074,1600,13.62357
-105.42248,1600,13.623638
-107.27511,1600,13.623651
-110.99481,1600,13.623659
-105.25713,1600,13.623667
-108.551544,1600,13.623673
-111.89141,1600,13.623681
-109.41419,1600,13.623687
-117.4909,1600,13.623693
-111.025116,45,13.992997
-119.11011,1600,14.053922
-102.330124,58,14.105358
-111.821434,60,14.124406
-112.59241,63,14.152448
-102.74561,1600,14.172719
-115.866585,1600,14.242595
-238.21332,1585,14.393193
-112.02058,1600,14.420947
-107.26304,53,14.457327
-131.80557,1600,14.550425
-122.39102,60,14.577894
-103.959404,55,14.60553
-101.23599,117,14.624941
-102.5408,1600,14.82425
-132.59718,1600,14.964675
-103.45357,70,14.992702
-117.470146,56,15.028405
-112.32256,1600,15.160503
-106.95045,67,15.188563
-100.7197,84,15.296472
-106.96418,1600,15.332871
-119.14357,111,15.410167
-117.302895,1600,15.462876
-101.12977,130,15.53903
-132.85522,231,15.598735
-101.80909,77,15.63404
-102.90101,55,15.669519
-123.17697,122,15.868093
-112.4477,62,15.936417
-102.27984,114,16.005335
-112.87991,59,16.101101
-119.71244,1600,16.101156
-105.52045,76,16.112616
-122.67531,1600,16.140829
-101.41968,1600,16.340636
-124.27893,94,16.340692
-101.68936,1600,16.377165
-110.45725,45,16.485227
-106.19384,74,16.504839
-103.20221,100,16.524543
-127.57559,1600,16.601651
-100.0552,81,16.637963
-113.590614,1600,16.68204
-111.31539,64,16.693572
-107.90808,72,16.73739
-102.3314,82,16.81436
-102.858696,71,16.956715
-116.72382,56,16.976368
-118.16446,76,17.187234
-126.30358,1600,17.207257
-107.29336,137,17.218919
-96.69206,69,17.263418
-115.61823,107,17.30248
-114.4367,1600,17.302526
-102.59667,115,17.40435
-112.55466,51,17.447942
-111.16534,1600,59.335171
-127.14041,266,59.443526
-114.160965,55,59.462849
-126.54755,1600,59.485251
-110.9634,55,59.485274
-102.39235,65,59.650756
-123.65386,1600,59.677836
-105.34862,41,59.691912
-108.86938,78,59.691936
-99.56208,66,59.809848
-108.632256,83,59.809873
-99.71974,63,60.013016
-103.38596,1600,60.056171
-106.90494,73,60.100076
-110.47412,65,60.200823
-109.39465,122,60.236562
-101.87737,80,60.36077
-124.02767,109,60.388159
-112.35522,50,60.481487
-102.02558,76,60.738444
-101.363235,52,60.915361
-117.215004,77,61.009094
-110.886314,49,61.329899
-115.1101,70,61.32995
-111.52351,231,61.629908
-107.27406,93,61.790121
-107.81164,66,62.343912
-110.749916,1600,68.985687
-121.1072,1600,68.985729
-99.960495,1600,68.985742
-101.01707,51,69.412531
-123.33756,1600,69.473567
-111.574104,1600,69.518185
-109.95883,1600,69.537832
-97.5762,1600,69.606561
-102.12323,101,69.838147
-108.60332,49,69.890794
-106.681465,45,69.901937
-107.98922,1600,69.96279
-111.10584,51,69.973825
-105.086624,68,70.001229
-113.84507,47,70.012121
-102.126945,1600,70.350842
-105.94176,1600,70.519538
-106.75958,88,70.648641
-108.53139,1600,70.648665
-99.76324,99,70.689374
-100.74016,1600,70.978652
-98.40604,126,71.071809
-108.77138,61,71.199363
-104.048515,74,71.27636
-110.798035,53,71.428671
-107.65163,179,71.481989
-108.7967,55,71.666238
-110.22979,1600,71.860119
-116.04637,74,71.904359
-101.51942,1600,71.941164
-111.01062,1600,72.019558
-92.115326,1600,72.031342
-102.350006,1600,72.076613
-106.02224,1600,72.154017
-99.01052,1600,72.296062
-109.230545,48,72.438594
-92.955536,1600,72.566169
-118.304474,80,72.62718
-108.10854,51,72.728557
-115.50057,55,72.906006
-99.81501,119,72.925374
-102.18986,1600,72.953649
-101.21318,1600,73.180248
-96.072945,1600,73.316449
-102.48617,45,73.316473
-96.90673,1600,73.316485
-98.95136,1600,73.525308
-96.60805,1600,73.711657
-98.216385,1600,73.748262
-95.69262,1600,73.902718
-104.4884,69,73.902745
-106.73872,85,74.614383
-114.79192,87,74.634396
-92.87939,1600,74.849471
-92.98189,1600,74.849495
-99.10834,1600,75.154591
-103.729256,67,75.415463
-126.21246,100,75.484517
-106.095085,1600,75.88997
-110.98166,119,118.550194
-96.16401,1600,124.244134
-100.52894,1600,125.155418
-87.49177,1600,125.235428
-103.549286,1600,125.264083
-91.31067,1600,125.618472
-127.29115,164,125.64713
-112.68129,69,125.750176
-92.94353,1600,125.796041
-94.518456,1600,125.924478
-97.18239,1600,126.367048
-111.96627,68,126.521859
-113.0946,98,126.609668
-100.996254,1600,126.72872
-97.03108,1600,126.784792
-102.43351,113,126.784816
-103.65767,1600,126.97411
-102.726234,63,127.06946
-94.52703,1600,127.172261
-104.384155,72,127.234605
-93.83616,1600,127.33063
-103.30348,1600,127.382748
-90.27946,1600,127.460172
-104.7298,57,127.71916
-108.54703,71,127.781141
-95.433075,1600,127.877576
