#{"t_start": 1686125962.710815, "env_id": null}
r,l,t
-101.98482,56,0.303419
-106.632454,57,0.310934
-107.004906,70,0.372448
-104.99629,81,0.426985
-100.23964,88,0.461605
-121.336205,89,0.46905
-106.89258,100,0.520962
-103.23783,101,0.528608
-119.66879,109,0.567724
-103.25,56,0.58446
-117.343925,120,0.622893
-101.72298,66,0.640151
-115.87367,71,0.77826
-120.81482,70,0.810076
-113.39545,172,0.879377
-115.96349,76,0.954911
-121.65913,95,0.991173
-105.06724,95,1.088985
-102.47222,58,1.097203
-111.70137,56,1.262487
-108.28168,53,1.350415
-116.18884,58,1.54317
-103.79777,42,1.746402
-102.48505,79,2.124024
-122.5341,150,2.842733
-122.50827,116,3.395597
-111.43428,61,3.687373
-112.18352,54,3.949622
-125.27988,86,4.362782
-128.56474,1600,7.634966
-128.66101,1600,7.635024
-104.991455,1600,7.635037
-122.91813,1600,7.635046
-118.35408,1600,7.635053
-105.427505,67,7.934745
-116.601715,1600,7.951299
-102.33324,76,7.981087
-105.50061,1600,8.041345
-117.57956,96,8.075857
-109.15056,1600,8.101248
-120.83944,1600,8.139412
-110.750534,1600,8.204724
-104.819214,59,8.23547
-101.557014,63,8.282725
-105.35538,50,8.317194
-114.51276,1600,8.347302
-99.512344,74,8.39945
-114.02547,1600,8.443261
-111.64517,59,8.522384
-114.7352,1600,8.522442
-125.954185,91,8.578779
-104.33766,1600,8.649714
-104.47872,52,8.692682
-120.038025,68,8.72616
-114.90971,53,8.772584
-103.14932,1600,8.906116
-124.78419,97,9.047488
-105.33756,70,9.071426
-108.8923,62,9.085256
-103.62482,73,9.276855
-116.74504,76,9.426903
-102.23746,84,9.498415
-105.037834,56,9.713228
-121.597176,80,21.489131
-109.42799,50,21.54832
-105.87509,1600,23.545298
-106.67162,75,23.907522
-107.125694,65,24.221316
-215.37965,1291,25.903196
-103.47213,74,26.264583
-113.708115,1600,26.922122
-97.419014,1600,26.922179
-112.90391,1600,27.247814
-99.94964,1600,27.52393
-112.07924,60,27.546734
-117.634186,1600,27.60925
-100.36426,1600,27.646953
-111.89598,1600,27.679679
-119.39473,1600,27.852809
-110.26509,45,27.897842
-102.9598,1600,27.985262
-104.22575,1600,28.029955
-103.86716,80,28.042656
-122.34757,114,28.097925
-100.31335,94,28.314721
-101.10642,76,28.360273
-113.69598,170,28.3915
-100.51468,1600,28.413736
-117.40159,84,28.459233
-102.956215,74,28.467251
-117.88387,1600,28.619518
-105.10586,77,28.79796
-109.30282,97,28.878867
-132.7336,142,29.02451
-101.06741,84,29.037493
-110.28687,59,29.168215
-109.64663,1600,29.237809
-101.88225,90,29.245976
-103.490074,1600,29.301438
-116.21774,63,29.548434
-112.514206,66,29.618522
-98.92784,114,29.724545
-116.48644,46,29.842116
-102.63002,76,29.921907
-100.18626,76,30.095475
-111.72306,81,30.240396
-118.33923,105,30.434031
-103.70375,80,30.489358
-122.211624,83,30.64222
-101.42711,66,30.807063
-99.19219,80,30.824838
-105.90477,44,30.862049
-102.702126,71,31.173378
-103.90315,70,31.186197
-98.50587,99,43.035206
-115.621925,68,43.179075
-106.42498,99,43.339212
-122.67382,67,43.502662
-109.44966,1600,43.707377
-104.72389,55,43.771348
-98.4729,92,44.14911
-107.43727,1600,45.735201
-103.25006,1600,46.358723
-108.0252,1600,46.35878
-104.41548,56,46.627926
-107.008965,66,46.679509
-102.0877,1600,47.032772
-111.83648,1600,47.317259
-101.876335,64,47.365294
-121.24278,1600,47.469877
-118.17404,1600,47.800225
-96.98202,1600,47.895805
-107.59767,108,47.907241
-103.4156,1600,47.907275
-97.17466,100,47.971323
-109.98146,44,48.117995
-101.68558,59,48.196421
-104.43853,70,48.253425
-105.30158,99,48.297837
-102.34147,66,48.44155
-112.95104,1600,48.463916
-129.29828,1600,48.477105
-114.70665,48,48.494752
-119.51246,65,48.525563
-117.440094,1600,48.68067
-105.70994,70,48.792683
-117.81871,61,48.978762
-105.040146,99,49.010514
-117.67654,81,49.188808
-101.3926,80,49.359151
-101.95236,78,49.550101
-96.510956,73,49.889211
-102.272644,60,50.163422
-120.68052,1600,50.732978
-88.06894,1600,51.047224
-107.08187,69,51.080097
-105.23755,1600,51.482765
-103.66163,98,51.529449
-111.44295,105,51.595427
-103.873695,1600,51.87618
-114.18739,73,51.953572
-116.45284,57,52.153936
-115.11283,56,52.244541
-109.167145,1600,65.200428
-109.35272,49,65.433941
-101.721375,1600,66.111184
-116.315865,1600,66.163189
-100.00393,136,66.763266
-112.9087,1600,66.79133
-110.479675,173,66.995368
-105.89545,50,67.013084
-99.18174,74,67.371034
-102.70411,1600,67.413032
-112.269165,49,67.610056
-110.73809,1600,67.729701
-117.26943,1600,67.890669
-113.21708,1600,67.903483
-99.6394,1600,67.920513
-109.080215,68,67.941701
-108.35953,143,68.096263
-116.24614,63,68.198333
-103.83804,70,68.227368
-110.14463,104,68.227418
-108.788414,62,68.391483
-104.99735,1600,68.418659
-105.506714,133,68.569701
-106.643776,77,68.569758
-118.31511,77,68.596294
-118.24324,62,68.711529
-116.81277,73,68.758457
-100.551926,1600,68.789501
-111.63709,60,68.872655
-103.02657,136,68.894128
-122.09777,69,68.944341
-101.5096,65,69.187684
-101.45264,83,69.187742
-115.90627,97,69.35361
-99.988815,63,69.482032
-121.223076,88,69.603223
-103.88672,1600,69.621093
-113.4866,68,69.685193
-109.371925,50,69.863962
-98.588234,90,69.924672
-105.95374,53,69.947349
-111.016396,64,70.259075
-106.04872,82,70.272558
-117.21162,77,70.309932
-104.264046,57,70.540442
-122.37761,79,70.65624
-100.65718,1600,70.931794
-99.30986,1600,70.981521
-102.787415,75,71.301961
-120.563225,83,71.386241
-108.66128,1600,71.60017
-103.235565,1600,71.676701
-101.05698,84,71.80046
-104.46739,73,71.962399
-103.15846,70,72.14511
-101.3943,58,72.247673
-98.67688,78,72.612202
-105.34658,1600,73.18048
-104.89139,72,73.5259
-123.63139,85,73.956186
-91.90941,1600,86.184142
-105.57483,1600,86.387999
-103.95679,179,86.448265
-106.276375,93,86.63939
-115.337814,71,86.79702
-112.31664,71,86.990176
-96.14507,1600,87.31683
