#{"t_start": 1686122785.4387488, "env_id": null}
r,l,t
-111.82736,44,0.287766
-106.096466,50,0.318017
-108.18769,52,0.330648
-111.00441,56,0.354011
-108.09097,57,0.362279
-111.90083,64,0.401607
-114.60037,64,0.401675
-104.90226,69,0.429657
-108.658875,73,0.452583
-101.419365,79,0.484661
-107.58705,80,0.492853
-110.92134,87,0.530123
-119.69542,57,0.661397
-98.184525,113,0.66146
-99.03243,81,0.751939
-114.967766,68,0.760329
-118.0033,86,0.792334
-103.14414,65,0.824508
-104.79866,78,0.895509
-107.71147,61,0.976524
-110.502686,49,1.008623
-115.71564,78,1.065142
-100.70321,66,1.102308
-107.070465,67,1.139467
-102.88178,74,1.20443
-104.346375,61,1.212637
-109.50268,164,1.225766
-99.37882,68,1.331993
-111.834595,65,1.350163
-102.906425,49,1.363544
-106.15212,47,1.454405
-104.254234,92,1.546811
-112.18904,64,1.560385
-116.423584,99,1.654936
-118.12468,67,1.687763
-131.7722,222,1.687824
-105.007095,69,1.715918
-106.69235,63,1.785285
-110.77687,45,1.798368
-121.4402,117,1.97243
-117.449005,55,1.972494
-106.01983,82,2.089061
-108.52224,101,2.209792
-114.2409,77,2.37631
-124.82599,167,3.220183
-130.25745,183,4.118258
-105.03726,76,4.498066
-115.68601,58,4.786941
-116.22877,73,5.149251
-104.207726,1600,8.148325
-103.75443,1600,8.148392
-113.70284,1600,8.148408
-105.80761,1600,8.356577
-105.097885,61,8.443554
-105.01065,1600,8.461853
-117.90961,1600,8.491564
-116.15194,1600,8.515861
-102.98188,114,8.71985
-104.92326,64,8.778572
-105.28694,54,8.792089
-101.48188,129,8.805
-117.25337,75,8.855978
-100.715744,68,9.188805
-99.980484,84,9.211583
-112.28702,1600,9.253664
-99.18999,65,9.510258
-128.6326,1600,9.566633
-101.187645,82,9.659618
-115.029366,1600,9.725491
-128.27078,117,9.798885
-109.217094,1600,9.798951
-115.24222,1600,9.812513
-101.90549,57,9.950716
-107.13174,1600,9.983095
-109.35723,95,10.05299
-108.723305,1600,10.096418
-116.636475,124,10.149157
-101.17149,80,10.247525
-111.744835,1600,10.247601
-118.07982,85,10.267078
-102.403656,51,10.348651
-102.03347,69,10.371026
-113.38054,78,22.198204
-99.75793,80,22.258765
-115.45559,70,22.281591
-100.309525,70,22.394989
-202.08408,1124,22.488434
-106.6554,59,22.496612
-145.63483,503,22.61676
-108.55164,60,22.794115
-103.17193,81,23.028894
-103.44177,85,23.22725
-117.51771,1600,28.135084
-108.326096,1600,28.353343
-121.81941,1600,28.410492
-112.05548,1600,28.432646
-102.94444,54,28.616044
-108.81877,72,28.753281
-119.74612,96,28.888375
-103.199585,58,29.032202
-110.95994,1600,29.310315
-108.06298,1600,29.378996
-109.38108,1600,29.522382
-117.1388,80,29.691501
-115.189186,1600,29.771672
-112.869194,1600,29.790974
-119.922455,93,29.833248
-122.9166,1600,29.875877
-118.540985,77,29.910335
-103.0963,63,30.098929
-111.43041,1600,30.117408
-101.4339,1600,30.140556
-101.84138,62,30.197301
-109.76487,1600,30.25951
-106.518105,102,30.321221
-103.407166,83,30.340121
-118.998825,1600,30.370415
-123.1444,110,30.413008
-114.2525,52,30.421095
-105.74572,60,30.517349
-127.82959,157,30.517415
-102.991394,84,30.549986
-101.30813,69,30.625479
-102.52975,84,30.772436
-115.387535,1600,30.902584
-125.967995,1600,31.096587
-106.49557,127,31.25947
-122.2206,83,31.320801
-110.360794,73,31.463451
-167.0139,685,31.53477
-105.201195,65,31.5879
-99.78449,56,31.606056
-101.706764,66,31.877858
-101.494194,83,32.012807
-102.530235,104,32.132549
-106.14466,75,32.251412
-119.24978,69,44.175226
-117.37488,81,44.576237
-203.05173,1133,47.814091
-114.194374,51,48.069594
-102.933914,1600,48.336565
-128.9166,1600,48.641838
-105.56841,73,48.724457
-112.90085,1600,48.7957
-106.249756,69,49.132575
-116.443665,97,49.204864
-112.9058,69,49.468554
-100.169655,76,49.571739
-101.69185,67,49.801664
