#{"t_start": 1686122768.8393483, "env_id": null}
r,l,t
-113.612495,40,0.257851
-112.883255,55,0.331456
-105.20673,62,0.368686
-119.75336,69,0.4039
-98.93144,76,0.43781
-105.89461,78,0.449626
-99.5682,79,0.45728
-103.32897,80,0.46483
-100.447044,85,0.493022
-100.84229,85,0.493067
-116.48754,87,0.504962
-120.50513,105,0.588033
-106.74031,58,0.742692
-103.50328,68,0.773965
-122.22922,91,0.786448
-101.481,62,0.797273
-108.700165,62,0.797306
-99.80128,70,0.810081
-117.23063,93,0.841511
-99.141396,83,0.872541
-99.065994,88,0.939376
-109.388374,45,1.020097
-102.278336,72,1.142992
-120.12037,82,1.183033
-99.69806,91,1.241449
-125.70598,124,1.461432
-98.415,68,1.469308
-111.19743,55,1.50555
-119.95018,77,1.554362
-104.33738,71,1.808656
-102.225815,82,1.858355
-118.60376,63,2.111078
-103.14249,79,2.234787
-220.20978,1387,6.764518
-115.485176,83,7.161175
-108.68826,1600,7.788368
-107.068954,1600,7.788434
-113.288475,1600,7.788446
-121.07562,1600,7.978513
-112.86732,56,8.056876
-112.2431,1600,8.120482
-113.15758,1600,8.295071
-101.198746,71,8.403648
-113.023094,1600,8.460306
-123.10387,148,8.511546
-118.9617,1600,8.520507
-100.51045,83,8.539229
-119.65882,1600,8.55689
-122.994095,1600,8.65361
-113.431366,1600,8.735718
-120.6684,92,8.762132
-100.82186,60,8.834877
-105.798195,65,8.850662
-104.546486,87,8.850696
-107.23864,67,8.891005
-104.372665,55,8.931972
-115.59924,60,9.064598
-100.08091,115,9.096725
-104.30267,73,9.110335
-112.48252,44,9.118709
-101.76381,77,9.238639
-106.63356,1600,9.251803
-118.1001,82,9.260133
-125.296776,1600,9.305688
-126.02622,71,9.59434
-122.30274,90,9.694855
-107.105545,1600,9.877902
-127.49491,136,9.968976
-101.21913,1600,10.006891
-134.85736,344,23.315614
-101.766396,49,23.556486
-214.26578,1396,26.648904
-101.79488,49,26.903759
-105.60339,1600,27.029124
-110.4244,46,27.135754
-100.10829,63,27.340273
-108.51452,44,27.353411
-120.71292,81,27.744781
-127.93965,1600,27.864763
-111.98917,46,27.973618
-99.714966,60,28.26876
-99.60865,1600,28.348054
-106.8958,99,28.356145
-100.05563,67,28.672586
-104.283264,1600,28.719864
-104.293755,103,28.775676
-108.23559,1600,28.803466
-119.9863,1600,28.935073
-103.73824,1600,28.967207
-103.389175,1600,28.980489
-129.98885,1600,28.992252
-110.08596,61,28.992297
-121.1158,132,29.019344
-115.857056,58,29.027443
-112.38411,58,29.104372
-113.1003,1600,29.136949
-114.923615,56,29.231964
-100.50974,68,29.334109
-105.87811,75,29.366659
-106.48491,149,29.531422
-100.97311,1600,29.577976
-108.43303,96,29.586076
-104.64539,58,29.655423
-110.60063,1600,29.767037
-110.6236,41,29.794942
-129.03525,1600,29.865178
-117.16595,1600,29.902112
-107.722336,73,29.951945
-112.7064,76,30.222643
-105.69096,1600,31.322511
-103.40423,74,31.672796
-105.82353,73,43.765347
-109.20733,43,43.972818
-102.368256,103,44.458668
-95.244026,1600,46.750856
-113.84952,52,47.01115
-121.77272,1600,48.390794
-101.87359,1600,48.40941
-103.4329,1600,48.437679
-105.24484,1600,48.446423
-111.54162,1600,48.556477
-104.90645,1600,48.651744
-124.51468,1600,48.75616
-117.054535,65,48.774141
-109.71302,1600,48.952906
-105.36773,57,49.040075
-96.633514,122,49.052979
-106.900276,1600,49.080447
-96.82753,1600,49.188283
-123.58456,1600,49.214843
-112.86722,66,49.287924
-111.24378,1600,49.319496
-110.705734,1600,49.367776
-101.02066,87,49.476494
-113.781395,61,49.484223
-105.410416,85,49.617362
-105.09616,1600,49.643091
-113.47741,83,49.682283
-107.60036,51,49.722386
-113.69124,69,50.046445
-103.91459,87,50.474539
-117.29081,73,50.842794
-90.61796,1600,52.271303
-90.47033,1600,66.732522
-92.20207,1600,68.085789
-99.01774,1600,68.104352
-113.19569,1600,68.23971
-103.9276,1600,68.335294
-107.819534,1600,68.45013
-122.83602,116,68.649653
